Entering ^vbg+++xvbg+=Entering
university ^npl++++=university
represents ^vbz++++=represents
a ^at++++=a
significant ^jj+atrb+++=significant
developmental ^nn+++??+=developmental
stage ^nn++++=stage
for ^in++++=for
many ^ap++++=many
young ^jj+atrb+++=young
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
characterized ^nn+++??+=characterized
by ^in++++=by
maturational ^nn+++??+=maturational
changes ^nns++++=changes
at ^rb++++=at
physiological ^jj++++=physiological,
, ^zz++++=EXTRAWORD
neurological ^nn+++??+=neurological,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
psychological ^jj+atrb+++=psychological
levels ^nns++++=levels
during ^in++++=during
the ^ati++++=the
transition ^nn++++=transition
from ^in++++=from
adolescence ^nn++++=adolescence
to ^in++++=to
adulthood ^nn+++??+=adulthood
( ^zz++++=(Silva
silva ^np++++=EXTRAWORD
& ^zz++++=&
Costa ^np++++=Costa,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
period ^nn++++=period
often ^rb++++=often
presents ^vbz++++=presents
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
as ^ql++++=as
students ^nns++++=students
must ^md+nec+++=must
adapt ^vb++++=adapt
to ^in++++=to
new ^jj+atrb+++=new
social ^jj+atrb+++=social
roles ^nns++++=roles
and ^cc++++=and
adjust ^vb++++=adjust
to ^in++++=to
changes ^nns++++=changes
across ^in+pl+++=across
multiple ^jj+atrb+++=multiple
domains ^nns++++=domains
of ^in++++=of
university ^nn++++=university
life ^nn++++=life
( ^zz++++=(Ferreira
ferreira ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
pereira ^np++++=Pereira
& ^zz++++=&
ramos ^np++++=Ramos,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
