Long ^jj++++=Long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
security ^nn++++=security
in ^in++++=in
Europe ^np++++=Europe
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
achieved ^vpsv++agls+xvbnx+=achieved
in ^in++++=in
opposition ^nn++++=opposition
to ^in++++=to
Russia ^np++++=Russia;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
foreseeable ^jj++++=foreseeable
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
actions ^nns++++=actions
taken ^vwbn+++xvbn+=taken
by ^in++++=by
President ^npt++++=President
Putin ^np+++??+=Putin
are ^vb+ber+aux++=are
undermining ^vbg+++xvbgx+=undermining
this ^dt+dem+++=this
security ^nn++++=security.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
acknowledge ^vb+vpub+++=acknowledge
this ^dt+dem+++=this
situation ^nn++++=situation
explicitly ^rb++++=explicitly.
. ^zz++++=EXTRAWORD
