Seven ^cd++++=Seven
of ^in++++=of
these ^dt+dem+++=these
families ^nns++++=families
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
including ^in++++=including
one ^cd1++++=one
introduced ^vbd+++xvbn+=introduced
family ^nn++++=family
( ^zz++++=(Musaceae),
musaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
31 ^cd++++=31
genera ^nns++++=genera
and ^cc++++=and
319 ^cd++++=319
species ^nn++++=species,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
131 ^cd++++=131
are ^vb+ber+vrb++=are
endemic ^jj+pred+++=endemic.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
seven ^cd++++=seven
families ^nns++++=families,
, ^zz++++=EXTRAWORD
20 ^cd++++=20
genera ^nns++++=genera,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
65 ^cd++++=65
species ^nn++++=species
documented ^vwbn+++xvbn+=documented
( ^zz++++=(Andr
andr ^nn+++??+=EXTRAWORD
2020a ^cd++++=2020a,
, ^zz++++=EXTRAWORD
b ^zz++++=b,
, ^zz++++=EXTRAWORD
c ^zz++++=c;
; ^zz++++=EXTRAWORD
Almeida ^np+++??+=Almeida
& ^zz++++=&
Antar ^np+++??+=Antar
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Braga ^np+++??+=Braga
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
ferreira ^np++++=Ferreira
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
saka ^np++++=Saka
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
