As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
minimum ^jj+atrb+++=minimum
wages ^nns++++=wages
were ^vbd+bed+vrb++=were
categorized ^nn+++??+=categorized
by ^in++++=by
sector ^nn++++=sector
and ^cc++++=and
geographical ^jj+atrb+++=geographical
region ^nn++++=region,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
distinguishing ^jj+++xvbg+=distinguishing
between ^in++++=between
manual ^jj+atrb+++=manual
workers ^nns++++=workers
and ^cc++++=and
agricultural ^jj+atrb+++=agricultural
workers ^nns++++=workers,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
between ^in++++=between
the ^ati++++=the
Sierra ^np++++=Sierra,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Coast ^nn++++=Coast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
capital ^nn++++=capital
city ^nn++++=city,
, ^zz++++=EXTRAWORD
Quito ^np+++??+=Quito.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
Usd ^np+++??+=USD
1.17 ^cd++++=1.17
for ^in++++=for
agricultural ^jj+atrb+++=agricultural
workers ^nns++++=workers
in ^in++++=in
the ^ati++++=the
Sierra ^np++++=Sierra
to ^in++++=to
usd ^np++++=USD
4.77 ^cd++++=4.77
for ^in++++=for
manual ^jj+atrb+++=manual
workers ^nns++++=workers
on ^in++++=on
the ^ati++++=the
coast ^nn++++=Coast.
. ^zz++++=EXTRAWORD
