Inova ^np+++??+=Inova/UNICAMP
is ^vbz+bez+vrb++=is
the ^ati++++=the
innovation ^nn++++=innovation
agency ^nn++++=agency
at ^in++++=at
Unicamp ^np+++??+=UNICAMP
responsible ^jj++++=responsible
for ^in++++=for
managing ^xvbg+++xvbg+=managing
the ^ati++++=the
intellectual ^jj+atrb+++=intellectual
property ^nn++++=property
generated ^vbd+++xvbn+=generated
at ^rb++++=at
the ^ati++++=the
university ^nn++++=university,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
authorization ^nn+++??+=authorization
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
arches ^nns++++=arches
covered ^vbd+++xvbn+=covered
by ^in++++=by
patent ^nn++++=patent
pi0602107 ^np++++=PI0602107-7
- ^zz++++=EXTRAWORD
7 ^zz++++=EXTRAWORD
b1 ^np++++=B1/UNICAMP.
