These ^dt+dem+++=These
plants ^nns++++=plants
range ^nn++++=range
in ^in++++=in
size ^nn++++=size
from ^in++++=from
a ^at++++=a
few ^ap++++=few
centimeters ^nns+++??+=centimeters
to ^to++++=to
up ^rp++++=up
to ^to++++=to
10 ^cd++++=10
meters ^nns++++=meters
in ^in++++=in
height ^nn++++=height.
. ^zz++++=EXTRAWORD
Key ^jjb+atrb+++=Key
characteristics ^nns++++=characteristics
of ^in++++=of
this ^dt+dem+++=this
group ^nn++++=group
include ^vb++++=include
a ^at++++=a
rhizomatous ^nns+++??+=rhizomatous
stem ^nn++++=stem
that ^tht+rel+++=that
typically ^rb++++=typically
stores ^nns++++=stores
starch ^nn++++=starch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
a ^at++++=a
pseudostem ^nn+++??+=pseudostem
( ^zz++++=(with
with ^in++++=EXTRAWORD
a ^at++++=a
true ^jj+atrb+++=true
stem ^nn++++=stem
being ^vwbg+beg++xvbg+=being
rare ^jj++++=rare),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
parallel ^jj++++=parallel-pinnate
- ^zz++++=EXTRAWORD
pinnate ^nn+++??+=EXTRAWORD
leaf ^nn++++=leaf
venation ^nn+++??+=venation.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
inflorescences ^nns+++??+=inflorescences
are ^vb+ber+vrb++=are
either ^dtx++++=either
terminal ^jj++++=terminal
or ^cc+phrs+++=or
basal ^jj++++=basal
and ^cc++++=and
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
surrounded ^vpsv++by+xvbnx+=surrounded
by ^in++++=by
colored ^nn+++??+=colored
bracts ^nns+++??+=bracts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flowers ^nns++++=flowers
are ^vb+ber+vrb++=are
usually ^rb+down+++=usually
complete ^jj+pred+++=complete
and ^cc++++=and
bisexual ^nn+++??+=bisexual,
, ^zz++++=EXTRAWORD
with ^in+cmpx+++=with
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
Musaceae ^np+++??+=Musaceae,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
presents ^vbz++++=presents
unisexual ^nn+++??+=unisexual
flowers ^nns++++=flowers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
group ^nn++++=group
exhibits ^nns++++=exhibits
1 ^zz++++=1
to ^to++++=to
6 ^zz++++=6
fertile ^jj+atrb+++=fertile
stamens ^nns+++??+=stamens
and ^cc++++=and
1 ^zz++++=1
to ^to++++=to
5 ^zz++++=5
sterile ^jj+atrb+++=sterile
stamens ^nns+++??+=stamens
( ^zz++++=(staminodes)
staminodes ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
may ^md+pos+++=may
resemble ^vb++++=resemble
petals ^nns++++=petals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ovary ^nn+++??+=ovary
is ^vbz+bez+vrb++=is
inferior ^jj+pred+++=inferior
and ^cc++++=and
trilocular ^nn+++??+=trilocular,
, ^zz++++=EXTRAWORD
with ^in++++=with
each ^dt++++=each
locule ^nn+++??+=locule
containing ^vwbg+++xvbg+=containing
one ^cd1++++=one
or ^cc++++=or
more ^ql++++=more
ovules ^nns+++??+=ovules.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fruits ^nns++++=fruits
can ^md+pos+++=can
be ^vb+be+vrb++=be
either ^dtx++++=either
fleshy ^jj++++=fleshy
or ^cc+phrs+++=or
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
seeds ^nns++++=seeds
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
provided ^vpsv++agls+xvbnx+=provided
with ^in++++=with
an ^at++++=an
aril ^nn++++=aril
( ^zz++++=(Costa
costa ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
