A ^at++++=A
system ^nn++++=system
network ^nn++++=network
incorporates ^vbz++++=incorporates
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
delicacy ^nn++++=delicacy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
serves ^vbz++++=serves
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
principle ^nn++++=principle
for ^in++++=for
organizing ^xvbg+++xvbg+=organizing
system ^nn++++=system
indices ^nns++++=indices
in ^in++++=in
relation ^nn++++=relation
to ^to++++=to
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Delicacy ^nn++++=Delicacy
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
detail ^nn++++=detail
and ^cc++++=and
specificity ^nn++++=specificity
within ^in++++=within
a ^at++++=a
semiotic ^nn+++??+=semiotic
resource ^nn++++=resource,
, ^zz++++=EXTRAWORD
establishing ^vbg+++xvbg+=establishing
a ^at++++=a
hierarchical ^nn+++??+=hierarchical
scale ^nn++++=scale
from ^in++++=from
general ^jj++++=general
to ^in++++=to
specific ^jj++++=specific.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
involves ^vbz++++=involves
the ^ati++++=the
arrangement ^nn++++=arrangement
of ^in++++=of
systems ^nns++++=systems
from ^in++++=from
left ^nn++++=left
to ^in++++=to
right ^nn++++=right
based ^vwbn+++xvbn+=based
on ^in++++=on
entry ^nn++++=entry
conditions ^nns++++=conditions,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Dalamu ^np+++??+=Dalamu
( ^zz++++=(2019b).
2019b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
system ^nn++++=system
network ^nn++++=network
reflects ^vbz++++=reflects
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
choices ^nns++++=choices
available ^jj++++=available
in ^in++++=in
communicative ^nn+++??+=communicative
interactions ^nns++++=interactions
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
inherent ^jj+atrb+++=inherent
optionality ^nn+++??+=optionality.
. ^zz++++=EXTRAWORD
As ^in++++=As
illustrated ^nn++++=illustrated
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
communicative ^nn+++??+=communicative
modes ^nns++++=modes
such ^abl++++=such
as ^ql++++=as
language ^nn++++=language,
, ^zz++++=EXTRAWORD
image ^nn++++=image,
, ^zz++++=EXTRAWORD
color ^nn+++??+=color,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
music ^nn++++=music
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
as ^ql++++=as
terms ^nns++++=terms
with ^in++++=with
corresponding ^jj+atrb+++=corresponding
entry ^nn++++=entry
conditions ^nns++++=conditions
within ^in++++=within
the ^ati++++=the
network ^nn++++=network
system ^nn++++=system.
. ^zz++++=EXTRAWORD
