Within ^in++++=Within
the ^ati++++=the
category ^nn++++=category
of ^in++++=of
heteroglossic ^nn+++??+=heteroglossic
expressions ^nns++++=expressions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
dialogism ^nn+++??+=dialogism
in ^in++++=in
an ^at++++=an
utterance ^nn++++=utterance
varies ^vbz++++=varies
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
other ^ap++++=other
voices ^nns++++=voices
are ^vb+ber+vrb++=are
either ^dtx++++=either
explicitly ^rb++++=explicitly
acknowledged ^jj+++xvbn+=acknowledged
and ^cc+phrs+++=and
considered ^jj+++xvbn+=considered
or ^cc+phrs+++=or
concealed ^jj+++xvbn+=concealed
( ^zz++++=(Morson
morson ^nn+++??+=EXTRAWORD
& ^zz++++=&
Emerson ^np+++??+=Emerson,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
146 ^cd++++=146).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Utterances ^nns++++=Utterances
can ^md+pos+++=can
therefore ^rb+cnj+++=therefore
be ^vb+be+aux++=be
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
either ^dtx++++=either
dialogically ^nn+++??+=dialogically
expansive ^jj++++=expansive
or ^cc++++=or
contractive ^nn+++??+=contractive.
. ^zz++++=EXTRAWORD
Dialogically ^np+++??+=Dialogically
expansive ^jj+atrb+++=expansive
utterances ^nns++++=utterances
allow ^vb++++=allow
for ^in+ppvb+++=for
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
alternative ^jj+atrb+++=alternative
positions ^nns++++=positions
and ^cc++++=and
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
increasing ^jj+atrb++xvbg+=increasing
dialogic ^nn+++??+=dialogic
space ^nn++++=space,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
dialogically ^nn+++??+=dialogically
contractive ^nn+++??+=contractive
utterances ^nns++++=utterances
limit ^vb++++=limit
dialogic ^nn+++??+=dialogic
space ^nn++++=space
by ^in++++=by
challenging ^xvbg+++xvbg+=challenging,
, ^zz++++=EXTRAWORD
dismissing ^vbg+++xvbg+=dismissing,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
restricting ^vbg+++xvbg+=restricting
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
alternative ^jj+atrb+++=alternative
perspectives ^nns++++=perspectives
( ^zz++++=(Martin
martin ^np++++=EXTRAWORD
& ^zz++++=&
White ^jj++++=White,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
102 ^cd++++=102
103 ^cd++++=103),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
process ^nn++++=process
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
discursive ^vb++++=discursive
struggle ^nn++++=struggle.
. ^zz++++=EXTRAWORD
