According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
classification ^nn++++=classification
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
Santos ^np++++=Santos
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
( ^zz++++=(WHO)
who ^whp+who+++=EXTRAWORD
) ^zz++++=EXTRAWORD
published ^vbd+++xvbn+=published
in ^in++++=in
2010 ^cd++++=2010,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visual ^jj+atrb+++=visual
spectrum ^nn+++??+=spectrum
is ^vbz+bez+vrb++=is
categorized ^nn+++??+=categorized
into ^in++++=into
four ^cd++++=four
levels ^nns++++=levels:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
no ^at++++=no
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment,
, ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
moderate ^jj+atrb+++=moderate
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment,
, ^zz++++=EXTRAWORD
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
severe ^jj+atrb+++=severe
visual ^jj+atrb+++=visual
impairment ^nn+++??+=impairment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(4)
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
blindness ^nn++++=blindness.
. ^zz++++=EXTRAWORD
these ^dt+dem+++=These
categories ^nns++++=categories
are ^vb+ber+aux++=are
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
