Among ^in++++=Among
the ^ati++++=the
legislators ^nns+++??+=legislators
offices ^nns++++=offices
interviewed ^vwbn+++xvbn+=interviewed,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
are ^vb+ber+vrb++=are
structured ^nn+++??+=structured,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
to ^to++++=to
provide ^vbi+vsua+++=provide
support ^nn++++=support
to ^in++++=to
municipalities ^nns+++??+=municipalities.
. ^zz++++=EXTRAWORD
All ^abn++++=All
offices ^nns++++=offices
exhibit ^vb++++=exhibit
an ^at++++=an
internal ^jj+atrb+++=internal
division ^nn++++=division
of ^in++++=of
labor ^nn+++??+=labor
and ^cc++++=and
seek ^vb++++=seek
to ^to+vcmp+++=to
balance ^vb++++=balance
the ^ati++++=the
technical ^jj+atrb+++=technical
and ^cc+phrs+++=and
political ^jj+atrb+++=political
components ^nns++++=components
of ^in++++=of
their ^pp$+pp3+++=their
staff ^nn++++=staff.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
political ^jj+atrb+++=political
side ^nn++++=side,
, ^zz++++=EXTRAWORD
priority ^nn++++=priority
is ^vbz+bez+aux++=is
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
individuals ^nns++++=individuals
with ^in++++=with
established ^vbn+vprv++xvbn+=established
connections ^nns++++=connections
to ^in++++=to
local ^jj+atrb+++=local
communities ^nns++++=communities,
, ^zz++++=EXTRAWORD
including ^in++++=including
relationships ^nns++++=relationships
with ^in++++=with
mayors ^npts++++=mayors,
, ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
leaders ^nns++++=leaders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
longstanding ^jj+atrb++??+=longstanding
service ^nn++++=service
with ^in++++=with
the ^ati++++=the
legislators ^nns+++??+=legislators,
, ^zz++++=EXTRAWORD
participated ^j+++xvbn+=participated
in ^in++++=in
recent ^jj+atrb+++=recent
electoral ^jj+atrb+++=electoral
campaigns ^nns++++=campaigns,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
maintain ^vb+vpub+++=maintain
access ^nn++++=access
to ^in++++=to
executive ^jj+atrb+++=executive
agencies ^nns++++=agencies.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
technical ^jj+atrb+++=technical
side ^nn++++=side,
, ^zz++++=EXTRAWORD
the ^ati++++=the
offices ^nns++++=offices
emphasize ^vb++++=emphasize
essential ^nn++++=essential
competencies ^nns+++??+=competencies
in ^in++++=in
office ^nn++++=office
management ^nn++++=management,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
secretarial ^nn+++??+=secretarial
work ^nn++++=work,
, ^zz++++=EXTRAWORD
communication ^nn++++=communication,
, ^zz++++=EXTRAWORD
legal ^jj+atrb+++=legal
advising ^nvbg+++xvbg+=advising,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
legislative ^jj+atrb+++=legislative
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^to++++=to
specialized ^vbi++++=specialized
knowledge ^nn++++=knowledge
and ^cc++++=and
experience ^nn++++=experience
in ^in++++=in
key ^jjb+atrb+++=key
policy ^nn++++=policy
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
health ^nn++++=health
and ^cc++++=and
education ^nn++++=education.
. ^zz++++=EXTRAWORD
