Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
section ^nn++++=section
will ^md+prd+++=will
describe ^vb++++=describe
and ^cc++++=and
analyze ^nn+++??+=analyze
the ^ati++++=the
various ^jj+atrb+++=various
legal ^jj+atrb+++=legal
frameworks ^nns++++=frameworks
enacted ^vbd+++xvbn+=enacted
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
labor ^jj+atrb++??+=labor
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
will ^md+prd+++=will
focus ^vb++++=focus
on ^in++++=on
the ^ati++++=the
benefits ^nns++++=benefits
provided ^vbd+vsua++xvbn+=provided
to ^in++++=to
workers ^nns++++=workers,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
compensation ^nn++++=compensation
for ^in++++=for
dismissal ^nn++++=dismissal,
, ^zz++++=EXTRAWORD
premature ^jj+atrb+++=premature
termination ^nn++++=termination,
, ^zz++++=EXTRAWORD
maternity ^nn++++=maternity
leave ^nn++++=leave,
, ^zz++++=EXTRAWORD
disability ^nn++++=disability
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
remuneration ^nn++++=remuneration
for ^in++++=for
overtime ^nn++++=overtime
work ^nn++++=work,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
regulations ^nns++++=regulations
concerning ^in++++=concerning
restrictions ^nns++++=restrictions
on ^in++++=on
working ^xvbg+++xvbg+=working
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
days ^nns++++=days
of ^in++++=of
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
prohibition ^nn++++=prohibition
of ^in++++=of
child ^nn++++=child
labor ^nn+++??+=labor.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
specific ^jj+atrb+++=specific
section ^nn++++=section
will ^md+prd+++=will
address ^vb++++=address
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
policies ^nns++++=policies
in ^in++++=in
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
with ^in++++=with
comparative ^jj+atrb+++=comparative
reference ^nn++++=reference
to ^in++++=to
similar ^jj+atrb+++=similar
measures ^nns++++=measures
in ^in++++=in
other ^ap++++=other
latin ^jj+atrb+++=Latin
american ^jj+atrb+++=American
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
