A ^at++++=A
total ^nn++++=total
of ^in++++=of
322 ^cd++++=322
species ^nn++++=species
and ^cc++++=and
194 ^cd++++=194
genera ^nns++++=genera,
, ^zz++++=EXTRAWORD
belonging ^vbg+++xvbg+=belonging
to ^to++++=to
62 ^cd++++=62
botanical ^nn+++??+=botanical
families ^nns++++=families,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
families ^nns++++=families
of ^in++++=of
Pteridophytes ^np+++??+=Pteridophytes
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded,
, ^zz++++=EXTRAWORD
with ^in++++=with
Selaginella ^np+++??+=Selaginella
convoluta ^nn+++??+=convoluta
( ^zz++++=(Arn.)
arn ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Spring ^vb++++=Spring
being ^vbg+beg++xvbg+=being
the ^ati++++=the
most ^ql+emph+++=most
prevalent ^jj+atrb+++=prevalent
species ^nn++++=species,
, ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=occurring
across ^in+pl+++=across
all ^abn++++=all
phytophysiognomies ^nns+++??+=phytophysiognomies
of ^in++++=of
the ^ati++++=the
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
riparian ^nn+++??+=riparian
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
Angiosperms ^np+++??+=Angiosperms
were ^vbd+bed+vrb++=were
the ^ati++++=the
dominant ^jj+atrb+++=dominant
group ^nn++++=group,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
60 ^cd++++=60
families ^nns++++=families,
, ^zz++++=EXTRAWORD
including ^in++++=including
two ^cd++++=two
basal ^jj+atrb+++=basal
angiosperm ^nn+++??+=angiosperm
families ^nns++++=families
Annonaceae ^np+++??+=Annonaceae
and ^cc++++=and
Aristolochiaceae ^np+++??+=Aristolochiaceae
represented ^vwbn+++xvbn+=represented
by ^in++++=by
Annona ^np+++??+=Annona
leptopetala ^nn+++??+=leptopetala
( ^zz++++=(R.E.Fr.)
r.e.fr ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
h.rainer ^np++++=H.Rainer
and ^cc++++=and
aristolochia ^np++++=Aristolochia
birostris ^nns++++=birostris
duch ^np++++=Duch.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
