Difficulties ^nns++++=Difficulties
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students
in ^in++++=in
mainstream ^nn++++=mainstream
classrooms ^nns++++=classrooms
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
documented ^vpsv++agls+xvbnx+=documented
in ^in++++=in
several ^ap++++=several
studies ^nns++++=studies
( ^zz++++=(Ferreira
ferreira ^nn+++??+=EXTRAWORD
& ^zz++++=&
Dickman ^np+++??+=Dickman,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Uliana ^np+++??+=Uliana,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Camargo ^np+++??+=Camargo
& ^zz++++=&
Nardi ^np+++??+=Nardi,
 ^zz++++=EXTRAWORD
006 ^cd++++=2006;
 ^zz++++=EXTRAWORD
Oliveira ^np++++=Oliveira
 ^zz++++=&
Reily ^np++++=Reily,
 ^zz++++=EXTRAWORD
014 ^cd++++=2014).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
