According ^in+cmpx+++=According
to ^in++++=to
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
Indigenous ^jj+atrb+++=Indigenous
Health ^nn++++=Health
Care ^nn++++=Care
Information ^nn++++=Information
System ^nn++++=System
( ^zz++++=(SIASI),
siasi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
managed ^xvbn+++xvbn+=managed
by ^in++++=by
the ^ati++++=the
Special ^jj+atrb+++=Special
Secretariat ^nn++++=Secretariat
of ^in++++=of
Indigenous ^jj+atrb+++=Indigenous
Health ^nn++++=Health
( ^zz++++=(SESAI),
sesai ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
population ^nn++++=population
of ^in++++=of
the ^ati++++=the
Middle ^jjb++++=Middle
Purus ^np+++??+=Purus
region ^nn++++=region
is ^vbz+bez+aux++=is
estimated ^vpsv++agls+xvbnx+=estimated
at ^rb++++=at
approximately ^rb+down+++=approximately
8,117 ^cd++++=8,117
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
individuals ^nns++++=individuals
belong ^vb++++=belong
to ^to++++=to
13 ^cd++++=13
distinct ^jj+atrb+++=distinct
ethnic ^nn+++??+=ethnic
groups ^nns++++=groups
and ^cc++++=and
are ^vb+ber+aux++=are
distributed ^vpsv++agls+xvbnx+=distributed
across ^in+pl+++=across
24 ^cd++++=24
demarcated ^nn+++??+=demarcated
indigenous ^jj+atrb+++=indigenous
territories ^nns++++=territories
and ^cc++++=and
an ^at++++=an
additional ^jj++++=additional
6 ^zz++++=6
non ^&fw++++=non-demarcated
- ^zz++++=EXTRAWORD
demarcated ^nn+++??+=EXTRAWORD
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
either ^dtx++++=either
unidentified ^nn+++??+=unidentified
or ^cc++++=or
not ^xnot++not++=not
yet ^rb++++=yet
delimited ^vb+++??+=delimited.
. ^zz++++=EXTRAWORD
The ^ati++++=The
total ^jj+atrb+++=total
area ^nn++++=area
of ^in++++=of
the ^ati++++=the
demarcated ^nn++++=demarcated
indigenous ^jj+atrb+++=indigenous
lands ^nns++++=lands
amounts ^nns++++=amounts
to ^to++++=to
189,870.964 ^cd++++=189,870.964
hectares ^nns++++=hectares.
. ^zz++++=EXTRAWORD
