These ^dt+dem+++=These
conclusions ^nns++++=conclusions
regarding ^in++++=regarding
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
case ^nn++++=case
may ^md+pos+++=may
have ^vb+hv+vrb++=have
broader ^jjr+atrb+++=broader
relevance ^nn++++=relevance
for ^in++++=for
other ^ap++++=other
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
characterized ^nn+++??+=characterized
by ^in+strn+++=by:
: ^zz++++=EXTRAWORD
( ^zz++++=(i)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
decentralization ^nn++++=decentralization,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
municipalities ^nns+++??+=municipalities
possess ^vb++++=possess
political ^jj+atrb+++=political
autonomy ^nn++++=autonomy,
, ^zz++++=EXTRAWORD
hold ^nn++++=hold
responsibilities ^nns++++=responsibilities
in ^in++++=in
key ^jjb+atrb+++=key
policy ^nn++++=policy
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
local ^jj+atrb+++=local
politicians ^nns++++=politicians
occupy ^vb++++=occupy
significant ^jj+atrb+++=significant
roles ^nns++++=roles
within ^in++++=within
the ^ati++++=the
political ^jj+atrb+++=political
system ^nn++++=system;
; ^zz++++=EXTRAWORD
( ^zz++++=(ii)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
electoral ^jj+atrb+++=electoral
systems ^nns++++=systems
in ^in++++=in
which ^whp+rel+pied++=which
municipal ^jj+atrb+++=municipal
elections ^nns++++=elections
are ^vb+ber+aux++=are
conducted ^vpsv++agls+xvbnx+=conducted
independently ^rb++++=independently
from ^in++++=from
elections ^nns++++=elections
at ^in++++=at
other ^ap++++=other
governmental ^jj+atrb+++=governmental
levels ^nns++++=levels;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(iii)
iii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
environments ^nns++++=environments
with ^in++++=with
weakly ^rb++++=weakly
institutionalized ^jj+atrb++??+=institutionalized
party ^nn++++=party
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
alternative ^jj+atrb+++=alternative
factors ^nns++++=factors
play ^vb++++=play
a ^at++++=a
crucial ^jj+atrb+++=crucial
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
multilevel ^nn++++=multilevel
political ^jj+atrb+++=political
alliances ^nns++++=alliances.
. ^zz++++=EXTRAWORD
