Topical ^jj+atrb+++=Topical
products ^nns++++=products
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
into ^in++++=into
the ^ati++++=the
following ^jj+atrb++xvbg+=following
categories ^nns++++=categories:
: ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-adherent
- ^zz++++=EXTRAWORD
adherent ^nn+++??+=EXTRAWORD
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
antimicrobial ^nn+++??+=antimicrobial
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-inflammatory
- ^zz++++=EXTRAWORD
inflammatory ^jj+atrb+++=EXTRAWORD
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
absorbent ^jj+atrb+++=absorbent
dressings ^nns++++=dressings,
, ^zz++++=EXTRAWORD
analgesic ^jj+atrb+++=analgesic
drugs ^nns++++=drugs
( ^zz++++=(including
including ^in++++=EXTRAWORD
gels ^nns++++=gels
based ^vwbn+++xvbn+=based
on ^in++++=on
anesthetics ^nns+++??+=anesthetics,
, ^zz++++=EXTRAWORD
opioids ^nns+++??+=opioids,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cannabinoid ^nn+++??+=cannabinoid-containing
- ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=EXTRAWORD
oils ^nns++++=oils),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
negative ^jj+atrb+++=negative
pressure ^nn++++=pressure
wound ^vbd+++xvbn+=wound
therapy ^nn++++=therapy,
, ^zz++++=EXTRAWORD
cryotherapy ^nn+++??+=cryotherapy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
procedures ^nns++++=procedures
involving ^jj+atrb+++=involving
careful ^jj+atrb+++=careful
irrigation ^nn++++=irrigation
and ^cc++++=and
removal ^nn++++=removal
of ^in++++=of
dressings ^nns++++=dressings.
. ^zz++++=EXTRAWORD
