Several ^ap++++=Several
studies ^nns++++=studies
on ^in++++=on
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
context ^nn++++=context
emphasize ^vb++++=emphasize
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
relationships ^nns++++=relationships
between ^in++++=between
legislators ^nns+++??+=legislators
and ^cc++++=and
local ^jj+atrb+++=local
politicians ^nns++++=politicians,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
mediating ^jj+atrb+++=mediating
role ^nn++++=role
of ^in++++=of
the ^ati++++=the
latter ^ap++++=latter
( ^zz++++=(Bezerra,
bezerra ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Avelino ^np+++??+=Avelino,
, ^zz++++=EXTRAWORD
Biderman ^np+++??+=Biderman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Barone ^np+++??+=Barone,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
Barone ^np+++??+=Barone,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Novaes ^np+++??+=Novaes,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
works ^nns++++=works
generally ^rb+down+++=generally
posit ^nn+++??+=posit
that ^tht+rel+obj++=that
representatives ^nns++++=representatives
allocate ^nn+++??+=allocate
resources ^nns++++=resources
to ^in++++=to
their ^pp$+pp3+++=their
geographically ^rb++++=geographically
concentrated ^xvbn+++xvbn+=concentrated
constituencies ^nns++++=constituencies,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
local ^jj+atrb+++=local
brokers ^nns++++=brokers
mobilize ^vb++++=mobilize
electoral ^jj+atrb+++=electoral
support ^nn++++=support
for ^in++++=for
the ^ati++++=the
legislators ^nns+++??+=legislators
in ^in++++=in
return ^nn++++=return.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
much ^ap++++=much
of ^in++++=of
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
literature ^nn++++=literature
relies ^vbz++++=relies
on ^in++++=on
assumptions ^nns++++=assumptions
regarding ^in++++=regarding
actors ^nns++++=actors'
' ^zz++++=EXTRAWORD
motivations ^nns++++=motivations
and ^cc++++=and
the ^ati++++=the
observable ^jj+atrb+++=observable
outcomes ^nns+++??+=outcomes
of ^in++++=of
these ^dt+dem+++=these
alliances ^nns++++=alliances,
, ^zz++++=EXTRAWORD
often ^rb++++=often
without ^in++++=without
providing ^xvbg+++xvbg+=providing
direct ^jj+atrb+++=direct
evidence ^nn++++=evidence
of ^in++++=of
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
mechanisms ^nns++++=mechanisms.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assess ^vb++++=assess
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
commonly ^rb++++=commonly
used ^vbd+++xvbn+=used
to ^in++++=to
analyze ^nn+++??+=analyze
broker ^nn++++=broker-boss
- ^zz++++=EXTRAWORD
boss ^nn++++=EXTRAWORD
relationships ^nns++++=relationships
in ^in++++=in
comparative ^jj+atrb+++=comparative
politics ^nn++++=politics
is ^vbz+bez+vrb++=is
applicable ^jj+pred+++=applicable
to ^in++++=to
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
legislators ^nns+++??+=legislators
and ^cc++++=and
local ^jj+atrb+++=local
politicians ^nns++++=politicians
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
investigate ^vb++++=investigate
how ^wrb+who+++=how
these ^dt+dem+++=these
relationships ^nns++++=relationships
are ^vb+ber+aux++=are
established ^vpsv++agls+xvbnx+=established,
, ^zz++++=EXTRAWORD
maintained ^j+++xvbn+=maintained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dissolved ^jj+++xvbn+=dissolved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
compare ^vb++++=compare
our ^pp$+pp1+++=our
empirical ^jj+atrb+++=empirical
findings ^nns++++=findings
with ^in++++=with
the ^ati++++=the
predictions ^nns++++=predictions
derived ^vwbn+++xvbn+=derived
from ^in++++=from
existing ^jj+atrb+++=existing
theory ^nn++++=theory.
. ^zz++++=EXTRAWORD
