Although ^cs+con+++=Although
cone ^nn++++=cone-beam
- ^zz++++=EXTRAWORD
beam ^nn++++=EXTRAWORD
computed ^vwbn+++xvbn+=computed
tomography ^nn+++??+=tomography
( ^zz++++=(CBCT)
cbct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
plays ^nns++++=plays
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
daily ^jj+atrb+++=daily
oral ^jj+atrb+++=oral
and ^cc+phrs+++=and
maxillofacial ^jj+atrb++??+=maxillofacial
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
visualizing ^nn+++??+=visualizing
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
( ^zz++++=(MC)
mc ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
rather ^rb++++=rather
than ^in++++=than
the ^ati++++=the
nerve ^nn++++=nerve
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
Cbct ^np+++??+=CBCT
remains ^vbz++++=remains
the ^ati++++=the
most ^ql+emph+++=most
effective ^jj+atrb+++=effective
imaging ^nn+++??+=imaging
modality ^nn+++??+=modality
for ^in++++=for
preoperative ^nn+++??+=preoperative
radiographic ^nn+++??+=radiographic
planning ^vwbg+++xvbg+=planning,
, ^zz++++=EXTRAWORD
including ^in++++=including
procedures ^nns++++=procedures
such ^abl++++=such
as ^ql++++=as
implant ^vb++++=implant
placement ^&fw++++=placement
and ^cc++++=and
surgical ^jj+atrb+++=surgical
extraction ^nn++++=extraction
of ^in++++=of
third ^nn++++=third
molars ^nns++++=molars.
. ^zz++++=EXTRAWORD
Accurate ^jj+atrb+++=Accurate
delineation ^nn++++=delineation
of ^in++++=of
the ^ati++++=the
Mc ^nnu++++=MC
using ^vwbg+++xvbg+=using
Cbct ^np+++??+=CBCT
can ^md+pos+++=can
assist ^vb++++=assist
surgeons ^nns++++=surgeons
in ^in++++=in
minimizing ^vbg+++xvbg+=minimizing
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
intraoperative ^nn++++=intraoperative
complications ^nns++++=complications.
. ^zz++++=EXTRAWORD
