Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
initiatives ^nns+++??+=initiatives
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
School ^nn++++=School
Health ^nn++++=Health
Program ^np+++??+=Program
( ^zz++++=(PSE)
pse ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(BRASIL,
brasil ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007)
) ^zz++++=EXTRAWORD
facilitate ^vb++++=facilitate
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
health ^nn++++=health-focused
- ^zz++++=EXTRAWORD
focused ^vbd+++xvbn+=EXTRAWORD
pedagogical ^jj+atrb+++=pedagogical
activities ^nns++++=activities
but ^cc++++=but
also ^rb++++=also
promote ^vb++++=promote
coordinated ^jj+atrb+++=coordinated
network ^nn++++=network
actions ^nns++++=actions,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
enhancing ^vbg+++xvbg+=enhancing
the ^ati++++=the
identification ^nn++++=identification
and ^cc++++=and
management ^nn++++=management
of ^in++++=of
risk ^nn++++=risk
behaviors ^nns+++??+=behaviors
( ^zz++++=(Oliveira,
oliveira ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Martins ^np+++??+=Martins,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Bracht ^np+++??+=Bracht,
, ^zz++++=EXTRAWORD
2015b ^cd++++=2015b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Carneiro ^np+++??+=Carneiro
and ^cc++++=and
Coutinho ^np+++??+=Coutinho
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
report ^vb++++=report
a ^at++++=a
significant ^jj+atrb+++=significant
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
identification ^nn++++=identification
and ^cc++++=and
referral ^nn+++??+=referral
of ^in++++=of
students ^nns++++=students
by ^in++++=by
schools ^nns++++=schools
to ^in++++=to
mental ^jj+atrb+++=mental
health ^nn++++=health
services ^nns++++=services,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
attention ^nn++++=attention
to ^in++++=to
students ^nns++++=students
mental ^jj+atrb+++=mental
health ^nn++++=health
needs ^nns++++=needs.
. ^zz++++=EXTRAWORD
this ^dt+pdem+++=This
represents ^vbz++++=represents
a ^at++++=a
promising ^jj+atrb+++=promising
example ^nn++++=example
of ^in++++=of
intersectoral ^nn++++=intersectoral
collaboration ^nn++++=collaboration.
. ^zz++++=EXTRAWORD
