Since ^in++++=Since
the ^ati++++=the
Russian ^jj+atrb+++=Russian
invasion ^nn++++=invasion
of ^in++++=of
Ukraine ^np++++=Ukraine,
, ^zz++++=EXTRAWORD
leading ^jj+atrb++xvbg+=leading
German ^jj+atrb+++=German
politicians ^nns++++=politicians
have ^vb+hv+aux++=have
consistently ^rb++splt++=consistently
described ^vprf+++xvbnx+=described
the ^ati++++=the
situation ^nn++++=situation
as ^in++++=as
a ^at++++=a
Zeitenwende ^np+++??+=Zeitenwende
( ^zz++++=(a
a ^at++++=EXTRAWORD
turning ^jj+atrb++xvbg+=turning
point ^nn++++=point),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
watershed ^nn++++=watershed,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
era ^nn++++=era,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
new ^jj+atrb+++=new
reality ^nn++++=reality.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
policy ^nn++++=policy
statement ^nn++++=statement
on ^in++++=on
27 ^cd++++=27
February ^nr++++=February
2022 ^cd++++=2022,
, ^zz++++=EXTRAWORD
German ^jj+atrb+++=German
Chancellor ^npt++++=Chancellor
Olaf ^np+++??+=Olaf
Scholz ^np+++??+=Scholz
stated ^vbd+vpub++xvbn+=stated,
, ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
attack ^vb++++=attack
on ^in++++=on
Ukraine ^np++++=Ukraine
on ^in++++=on
Thursday ^nr++++=Thursday,
, ^zz++++=EXTRAWORD
President ^npt++++=President
Putin ^np+++??+=Putin
has ^vbz+hvz+aux++=has
created ^vprf+++xvbnx+=created
a ^at++++=a
new ^jj+atrb+++=new
reality ^nn++++=reality.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
German ^jj+atrb+++=German
Foreign ^jj+atrb+++=Foreign
Minister ^nn++++=Minister
Annalena ^np+++??+=Annalena
Baerbock ^np+++??+=Baerbock,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
speech ^nn++++=speech
at ^in++++=at
the ^ati++++=the
United ^jj+atrb+++=United
Nations ^nns++++=Nations,
, ^zz++++=EXTRAWORD
