Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
literature ^nn++++=literature
reviewed ^vwbn+++xvbn+=reviewed
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
all ^abn++++=all
techniques ^nns++++=techniques
except ^in++++=except
periapical ^nn+++??+=periapical
radiography ^nn+++??+=radiography
demonstrate ^vb+vprv+++=demonstrate
utility ^nn++++=utility
in ^in++++=in
enhancing ^vbg+++xvbg+=enhancing
the ^ati++++=the
visibility ^nn++++=visibility
of ^in++++=of
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
( ^zz++++=(MC).
mc ^nnu++++=EXTRAWORD
). ^nn++++=EXTRAWORD
