Scientific ^jj+atrb+++=Scientific
education ^nn++++=education
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
promotion ^nn++++=promotion
of ^in++++=of
critical ^jj+atrb+++=critical
and ^cc+phrs+++=and
reflective ^jj+atrb+++=reflective
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
emphasis ^nn++++=emphasis
on ^in++++=on
developing ^xvbg+++xvbg+=developing
knowledge ^nn++++=knowledge
related ^vbd+++xvbn+=related
to ^to++++=to
living ^vbg+++xvbg+=living
organisms ^nns++++=organisms
and ^cc++++=and
the ^ati++++=the
natural ^jj+atrb+++=natural
environment ^nn++++=environment.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
competencies ^nns+++??+=competencies
are ^vb+ber+aux++=are
fostered ^vpsv++agls+xvbnx+=fostered
within ^in++++=within
the ^ati++++=the
subject ^nn++++=subject
through ^in++++=through
an ^at++++=an
inquiry ^nn++++=inquiry-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
process ^nn++++=process,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Dewey ^np+++??+=Dewey,
, ^zz++++=EXTRAWORD
involves ^vbz++++=involves
identifying ^jj+++xvbg+=identifying
and ^cc+phrs+++=and
examining ^jj+atrb++xvbg+=examining
relevant ^jj+atrb+++=relevant
issues ^nns++++=issues.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nn++++=process
requires ^vbz++++=requires
systematic ^jj+atrb+++=systematic
observation ^nn++++=observation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
formulation ^nn++++=formulation
of ^in++++=of
hypotheses ^nns++++=hypotheses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proposal ^nn++++=proposal
of ^in++++=of
solutions ^nns++++=solutions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
verification ^nn++++=verification
of ^in++++=of
these ^dt+dem+++=these
solutions ^nns++++=solutions.
. ^zz++++=EXTRAWORD
