Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
isolated ^jj+atrb++xvbn+=isolated
actions ^nns++++=actions
can ^md+pos+++=can
be ^vb+be+aux++=be
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
continuity ^nn++++=continuity
between ^in++++=between
the ^ati++++=the
health ^nn++++=health
and ^cc++++=and
education ^nn++++=education
sectors ^nns++++=sectors,
, ^zz++++=EXTRAWORD
highlighting ^nn+++??+=highlighting
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
the ^ati++++=the
Pse ^np+++??+=PSE
( ^zz++++=(BRASIL,
brasil ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira,
, ^zz++++=EXTRAWORD
Martins ^np+++??+=Martins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bracht ^np+++??+=Bracht
( ^zz++++=(2015b)
2015b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
emphasize ^vb++++=emphasize
both ^abx++++=both
the ^ati++++=the
opportunities ^nns++++=opportunities
for ^in++++=for
expanding ^xvbg+++xvbg+=expanding
health ^nn++++=health
knowledge ^nn++++=knowledge
and ^cc++++=and
the ^ati++++=the
challenges ^vbz++++=challenges
inherent ^jj++++=inherent
in ^in++++=in
such ^abl++++=such
initiatives ^nns+++??+=initiatives,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
necessitate ^vb++++=necessitate
collaboration ^nn++++=collaboration
among ^in++++=among
stakeholders ^nns++++=stakeholders
to ^to++++=to
achieve ^vbi++++=achieve
greater ^jjr+atrb+++=greater
synergy ^nn++++=synergy
and ^cc++++=and
coordination ^nn++++=coordination.
. ^zz++++=EXTRAWORD
