Well ^rb++++=Well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
was ^vbd+bedz+aux++=was
discussed ^vpsv++by+xvbnx+=discussed
by ^in++++=by
Clara ^np++++=Clara,
, ^zz++++=EXTRAWORD
Fabiana ^np+++??+=Fabiana,
, ^zz++++=EXTRAWORD
Marta ^np+++??+=Marta,
, ^zz++++=EXTRAWORD
marcos ^np++++=Marcos,
, ^zz++++=EXTRAWORD
roberto ^np++++=Roberto,
, ^zz++++=EXTRAWORD
larissa ^np++++=Larissa,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
juliana ^np++++=Juliana.
. ^zz++++=EXTRAWORD
