5 ^zz++++=5.
. ^zz++++=EXTRAWORD
Detection ^nn++++=Detection
of ^in++++=of
the ^ati++++=the
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
category ^nn++++=category
closely ^rb++++=closely
resembles ^vbz++++=resembles
the ^ati++++=the
previous ^jj+atrb+++=previous
one ^pn++++=one,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
also ^rb++++=also
aligns ^nns+++??+=aligns
with ^in++++=with
Dewey ^np+++??+=Dewey
s ^zz++++=s
investigative ^nn+++??+=investigative
process ^nn++++=process.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinguishing ^jj+atrb++xvbg+=distinguishing
feature ^nn++++=feature
of ^in++++=of
behaviors ^nns+++??+=behaviors
in ^in++++=in
this ^dt+dem+++=this
category ^nn++++=category
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
children ^nns++++=children,
, ^zz++++=EXTRAWORD
during ^in++++=during
their ^pp$+pp3+++=their
exploration ^nn++++=exploration
of ^in++++=of
available ^jj+atrb+++=available
materials ^nns++++=materials,
, ^zz++++=EXTRAWORD
encounter ^nn++++=encounter
a ^at++++=a
problem ^nn++++=problem
that ^tht+rel+subj++=that
presents ^vbz++++=presents
an ^at++++=an
obstacle ^nn++++=obstacle
or ^cc++++=or
dilemma ^nn++++=dilemma.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
situation ^nn++++=situation
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
child ^nn++++=child
experiencing ^vwbg+++xvbg+=experiencing
frustration ^nn++++=frustration
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
inquiry ^nn++++=inquiry
being ^vwbg+beg++xvbg+=being
impeded ^nn+++??+=impeded
by ^in++++=by
a ^at++++=a
problem ^nn++++=problem
arising ^vwbg+++xvbg+=arising
from ^in++++=from
external ^jj+atrb+++=external
circumstances ^nns++++=circumstances.
. ^zz++++=EXTRAWORD
A ^at++++=A
situation ^nn++++=situation
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
problematic ^nn+++??+=problematic
when ^wrb+who+++=when
the ^ati++++=the
child ^nn++++=child
explicitly ^rb++++=explicitly
recognizes ^vbz+vprv+++=recognizes
the ^ati++++=the
obstacle ^nn++++=obstacle
that ^tht+rel+obj++=that
causes ^nns++++=causes
difficulty ^nn++++=difficulty
and ^cc++++=and
attempts ^vb++++=attempts
to ^to+vcmp+++=to
address ^vbi++++=address
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
an ^at++++=An
example ^nn++++=example
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbn+=provided
below ^rb++++=below.
. ^zz++++=EXTRAWORD
