The ^ati++++=The
Law ^nn++++=Law
on ^in++++=on
the ^ati++++=the
Work ^nn++++=Work
of ^in++++=of
Women ^nns++++=Women
and ^cc++++=and
Children ^nns++++=Children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Protection ^nn++++=Protection
of ^in++++=of
Maternity ^nn++++=Maternity,
, ^zz++++=EXTRAWORD
strictly ^rb++++=strictly
prohibited ^vbd+++xvbn+=prohibited
the ^ati++++=the
employment ^nn++++=employment
of ^in++++=of
minors ^nns+++??+=minors
under ^in++++=under
14 ^cd++++=14
years ^nns++++=years
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Employers ^nns++++=Employers
were ^vbd+bed+aux++=were
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
workers ^nns++++=workers
under ^in++++=under
18 ^cd++++=18
years ^nns++++=years
of ^in++++=of
age ^nn++++=age
received ^vbd+++xvbn+=received
formal ^jj+atrb+++=formal
primary ^jj+atrb+++=primary
education ^nn++++=education.
. ^zz++++=EXTRAWORD
For ^in++++=For
workers ^nns++++=workers
under ^in++++=under
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
the ^ati++++=the
maximum ^nn++++=maximum
allowable ^nn+++??+=allowable
working ^vwbg+++xvbg+=working
time ^nn++++=time
was ^vbd+bedz+aux++=was
limited ^vpsv++agls+xvbnx+=limited
to ^to++++=to
eight ^cd++++=eight
hours ^nns++++=hours
per ^in++++=per
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
female ^nn++++=female
workers ^nns++++=workers,
, ^zz++++=EXTRAWORD
employment ^nn++++=employment
during ^in++++=during
night ^nn++++=night
shifts ^vbz++++=shifts
was ^vbd+bedz+aux++=was
prohibited ^vpsv++agls+xvbnx+=prohibited,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
employers ^nns++++=employers
were ^vbd+bed+vrb++=were
mandated ^nn+++??+=mandated
to ^to++++=to
provide ^vbi+vsua+++=provide
a ^at++++=a
subsidy ^nn++++=subsidy
for ^in++++=for
a ^at++++=a
total ^nn++++=total
of ^in++++=of
six ^cd++++=six
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
three ^cd++++=three
weeks ^nns++++=weeks
before ^in++++=before
and ^cc++++=and
three ^cd++++=three
weeks ^nns++++=weeks
after ^in++++=after
childbirth ^nn++++=childbirth.
. ^zz++++=EXTRAWORD
