On ^in++++=On
cone ^nn++++=cone-beam
- ^zz++++=EXTRAWORD
beam ^nn++++=EXTRAWORD
computed ^vwbn+++xvbn+=computed
tomography ^nn+++??+=tomography
( ^zz++++=(CBCT)
cbct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
images ^nns++++=images,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
( ^zz++++=(MC)
mc ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
visualized ^vpsv++agls+xvbnx+=visualized
and ^cc++++=and
manually ^rb++++=manually
traced ^vbd+++xvbn+=traced.
. ^zz++++=EXTRAWORD
Accurate ^jj+atrb+++=Accurate
mapping ^nn++++=mapping
of ^in++++=of
the ^ati++++=the
reconstruction ^nn++++=reconstruction
and ^cc++++=and
careful ^jj+atrb+++=careful
delineation ^nn++++=delineation
of ^in++++=of
the ^ati++++=the
Mc ^nnu++++=MC
path ^nn++++=path
by ^in++++=by
the ^ati++++=the
operator ^nn++++=operator
are ^vb+ber+vrb++=are
essential ^jj++++=essential
to ^to+jcmp+++=to
ensure ^vbi+vprv+++=ensure
precise ^jj+atrb+++=precise
identification ^nn++++=identification
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
