It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
plausible ^jj+pred+++=plausible
to ^to++++=to
suggest ^vbi+vpub+++=suggest
that ^tht+vcmp+++=that
in ^in++++=in
contexts ^nns++++=contexts
characterized ^nn+++??+=characterized
by ^in++++=by
intense ^jj+atrb+++=intense
electoral ^jj+atrb+++=electoral
competition ^nn++++=competition,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
loyalty ^nn++++=loyalty
increases ^vbz++++=increases
because ^cs+cos+++=because
it ^pp3+it+++=it
provides ^vbz+vsua+++=provides
legislators ^nns+++??+=legislators
with ^in++++=with
greater ^jjr+atrb+++=greater
predictability ^nn+++??+=predictability
regarding ^in++++=regarding
their ^pp$+pp3+++=their
secure ^jj+atrb+++=secure
electoral ^jj+atrb+++=electoral
assets ^nns++++=assets,
, ^zz++++=EXTRAWORD
even ^rb++++=even
though ^cs+sub+++=though
acts ^nns++++=acts
of ^in++++=of
disloyalty ^nn+++??+=disloyalty
are ^vb+ber+vrb++=are
not ^xnot++not++=not
necessarily ^rb++++=necessarily
subject ^vb++++=subject
to ^in++++=to
exemplary ^jj+atrb+++=exemplary
punishment ^nn++++=punishment.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
does ^vbz+doz+aux++=does
not ^xnot++not++=not
imply ^vb+vprv+++=imply
that ^tht+vcmp+++=that
investing ^vbg+++xvbg+=investing
in ^in++++=in
brokers ^nns++++=brokers
is ^vbz+bez+vrb++=is
irrational ^jj+pred+++=irrational
from ^in++++=from
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
representatives ^nns++++=representatives.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
arguments ^nns++++=arguments
presented ^vwbn+++xvbn+=presented
by ^in++++=by
Hicken ^np+++??+=Hicken
and ^cc++++=and
Nathan ^np++++=Nathan
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
behavior ^nn++++=behavior
may ^md+pos+++=may
reflect ^vb+vprv+++=reflect
legislators ^nns+++??+=legislators
recognition ^nn++++=recognition
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
inherent ^jj+atrb+++=inherent
risks ^nns++++=risks
and ^cc++++=and
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
capacity ^nn++++=capacity
to ^to+ncmp+++=to
effectively ^rb++++=effectively
sanction ^vb++++=sanction
brokers ^nns++++=brokers,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
reputations ^nns++++=reputations
within ^in++++=within
municipalities ^nns+++??+=municipalities
are ^vb+ber+vrb++=are
contingent ^nn++++=contingent
upon ^in++++=upon
these ^dt+dem+++=these
intermediaries ^nns++++=intermediaries.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
prevailing ^jj+atrb++xvbg+=prevailing
voter ^nn++++=voter
expectations ^nns++++=expectations
may ^md+pos+++=may
incentivize ^vb+++??+=incentivize
representatives ^nns++++=representatives
to ^to++++=to
maintain ^vbi+vpub+++=maintain
relationships ^nns++++=relationships
with ^in++++=with
brokers ^nns++++=brokers,
, ^zz++++=EXTRAWORD
as ^in++++=as
failure ^nn++++=failure
to ^to+ncmp+++=to
do ^vbi++++=do
so ^ql++++=so
could ^md+pos+++=could
result ^vb++++=result
in ^in++++=in
electoral ^jj+atrb+++=electoral
displacement ^nn++++=displacement
by ^in++++=by
competitors ^nns++++=competitors.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
informational ^nn+++??+=informational
asymmetry ^nn+++??+=asymmetry,
, ^zz++++=EXTRAWORD
principals ^nns++++=principals
may ^md+pos+++=may
adopt ^vb++++=adopt
strategies ^nns+++??+=strategies
to ^to++++=to
mitigate ^vbi++++=mitigate
their ^pp$+pp3+++=their
reliance ^nn++++=reliance
on ^in++++=on
local ^jj+atrb+++=local
brokers ^nns++++=brokers,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
establishing ^jj+atrb++xvbg+=establishing
direct ^jj+atrb+++=direct
channels ^nns++++=channels
of ^in++++=of
communication ^nn++++=communication
with ^in++++=with
constituents ^nns++++=constituents
and ^cc++++=and
seeking ^jj+atrb+++=seeking
independent ^jj+atrb+++=independent
information ^nn++++=information
from ^in++++=from
alternative ^jj+atrb+++=alternative
partners ^nns++++=partners.
. ^zz++++=EXTRAWORD
