When ^wrb+who+++=When
individuals ^nns++++=individuals
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
frequently ^rb++++=frequently
produce ^vb++++=produce
gestures ^nns++++=gestures
that ^tht+rel+subj++=that
convey ^vb++++=convey
information ^nn++++=information
not ^xnot++not++=not
readily ^rb++++=readily
accessible ^jj++++=accessible
through ^in++++=through
speech ^nn++++=speech
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
phenomenon ^nn++++=phenomenon
is ^vbz+bez+aux++=is
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed
among ^in++++=among
students ^nns++++=students,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
gestures ^nns++++=gestures
can ^md+pos+++=can
indicate ^vb+vprv+++=indicate
moments ^nns++++=moments
of ^in++++=of
conceptual ^jj+atrb+++=conceptual
uncertainty ^nn++++=uncertainty.
. ^zz++++=EXTRAWORD
Teachers ^nns++++=Teachers
can ^md+pos+++=can
utilize ^vb++++=utilize
these ^dt+dem+++=these
gestures ^nns++++=gestures
to ^to++++=to
gain ^vbi++++=gain
insights ^nns++++=insights
into ^in++++=into
students ^nns++++=students'
' ^zz++++=EXTRAWORD
cognitive ^nn+++??+=cognitive
processes ^nns++++=processes.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
students ^nns++++=students
may ^md+pos+++=may
generate ^vb++++=generate
new ^jj+atrb+++=new
ideas ^nns++++=ideas
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
gestures ^nns++++=gestures
they ^pp3a+pp3+++=they
themselves ^ppls+pp3+++=themselves
produce ^vb++++=produce
during ^in++++=during
instruction ^nn++++=instruction
or ^cc++++=or
those ^dt+dem+++=those
demonstrated ^vpsv++by+xvbn+=demonstrated
by ^in++++=by
their ^pp$+pp3+++=their
teachers ^nns++++=teachers.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
gesture ^nn++++=gesture
serves ^vbz++++=serves
not ^xnot++not++=not
only ^rb+down+++=only
as ^ql++++=as
a ^at++++=a
reflection ^nn++++=reflection
of ^in++++=of
a ^at++++=a
student ^nn++++=student's
's ^vbz+bez+aux++0=EXTRAWORD
understanding ^vbg+++xvbgx+=understanding
of ^in++++=of
a ^at++++=a
problem ^nn++++=problem
but ^cc++++=but
also ^rb++++=also
as ^in++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
mechanism ^nn++++=mechanism
for ^in++++=for
facilitating ^xvbg+++xvbg+=facilitating
conceptual ^jj+atrb+++=conceptual
change ^nn++++=change
( ^zz++++=(Novack
novack ^nn++++=EXTRAWORD
& ^zz++++=&
goldin ^np++++=Goldin-Meadow,
- ^zz++++=EXTRAWORD
meadow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
