It ^pp3+it+++=It
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
all ^abn++++=all
other ^ap++++=other
species ^nn++++=species
of ^in++++=of
the ^ati++++=the
order ^to++++=order
Zingiberales ^np+++??+=Zingiberales
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu
by ^in++++=by
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
a ^at++++=a
pulvinus ^nns+++??+=pulvinus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
green ^nn++++=green
coloration ^nn+++??+=coloration
of ^in++++=of
its ^pp$+it+++=its
inflorescence ^nn+++??+=inflorescence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flowers ^nns++++=flowers
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
grayish ^nn++++=grayish-white
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
or ^cc++++=or
pale ^nn++++=pale
yellow ^jj++++=yellow.
. ^zz++++=EXTRAWORD
