During ^in++++=During
2020 ^cd++++=2020
and ^cc++++=and
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Virtual ^jj+atrb+++=Virtual
Laboratory ^nn++++=Laboratory
of ^in++++=of
Affective ^np+++??+=Affective,
, ^zz++++=EXTRAWORD
Cognitive ^np+++??+=Cognitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Behavioral ^np+++??+=Behavioral
Neuropsychometry ^np+++??+=Neuropsychometry
( ^zz++++=(LAVINACC)
lavinacc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
study ^nn++++=study
entitled ^vwbn+++xvbn+=entitled
" ^zz++++="Physical
physical ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
Psychological ^jj+atrb+++=Psychological
Reactions ^nns++++=Reactions
as ^in++++=as
Health ^nn++++=Health
Indicators ^nns++++=Indicators
throughout ^in++++=throughout
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
Pandemic ^np+++??+=Pandemic."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Among ^in++++=Among
various ^jj+atrb+++=various
indicators ^nns++++=indicators,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
investigated ^vbd+++xvbn+=investigated
peri ^nn+++??+=peri-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
in ^in++++=in
Brazil ^np++++=Brazil
by ^in++++=by
administering ^xvbg+++xvbg+=administering
the ^ati++++=the
Peri ^np+++??+=Peri-Traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
Distress ^nn++++=Distress
Scale ^nn++++=Scale
( ^zz++++=(CPDI)
cpdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Qiu
qiu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020)
) ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
sample ^nn++++=sample
of ^in++++=of
1,844 ^cd++++=1,844
participants ^nns++++=participants
( ^zz++++=(Abad
abad ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
