Factor ^nn++++=Factor
V ^zz++++=V
( ^zz++++=(Physiologic)
physiologic ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
most ^ql+emph+++=most
substantial ^jj+atrb+++=substantial
changes ^nns++++=changes
during ^in++++=during
the ^ati++++=the
competition ^nn++++=competition.
. ^zz++++=EXTRAWORD
The ^ati++++=The
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbn+vpub+tht0+xvbn+=EXTRAWORD
statements ^nns++++=statements
associated ^vbd+++xvbn+=associated
with ^in++++=with
this ^dt+dem+++=this
factor ^nn++++=factor
( ^zz++++=(
I ^np++++=I
feel ^vb+vprv+++=feel
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
thirsty ^jj+pred+++=thirsty
) ^zz++++=)
may ^md+pos+++=may
be ^vb+be+vrb++=be
particularly ^rb++++=particularly
sensitive ^jj+pred+++=sensitive
to ^in++++=to
both ^abx++++=both
situational ^nn+++??+=situational
and ^cc++++=and
contextual ^nn+++??+=contextual
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
experimenter ^nn++++=experimenter
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
identify ^vb++++=identify
contextual ^nn+++??+=contextual
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
likelihood ^nn++++=likelihood
of ^in++++=of
classification ^nn++++=classification
in ^in++++=in
the ^ati++++=the
championship ^nn++++=championship,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
situational ^vb+++??+=situational
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
including ^in++++=including
whether ^cs+who+++=whether
training ^nn++++=training
sessions ^nns++++=sessions
occurred ^vbd+++xvbn+=occurred
on ^in++++=on
synthetic ^jj+atrb+++=synthetic
or ^cc+phrs+++=or
natural ^jj+atrb+++=natural
grass ^nn++++=grass
fields ^nns++++=fields
and ^cc++++=and
the ^ati++++=the
prevailing ^jj+atrb++xvbg+=prevailing
meteorological ^jj+atrb+++=meteorological
conditions ^nns++++=conditions
during ^in++++=during
the ^ati++++=the
events ^nns++++=events.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
variables ^nns++++=variables
were ^vbd+bed+aux++=were
not ^xnot++not++=not
experimentally ^rb++++=experimentally
controlled ^vpsv++agls+xvbn+=controlled
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
