Several ^ap++++=Several
topical ^jj+atrb+++=topical
therapies ^nns+++??+=therapies
and ^cc++++=and
treatments ^nns++++=treatments
are ^vb+ber+vrb++=are
available ^jj+pred+++=available
for ^in++++=for
pain ^nn++++=pain
management ^nn++++=management
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wounds ^nns++++=wounds
( ^zz++++=(MFWs).
mfws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
include ^vb++++=include
non ^&fw++++=non-adherent
- ^zz++++=EXTRAWORD
adherent ^nn+++??+=EXTRAWORD
dressings ^nns++++=dressings,
, ^zz++++=EXTRAWORD
hydrogel ^nn+++??+=hydrogel
and ^cc++++=and
hydrocolloid ^nn+++??+=hydrocolloid
dressings ^nns++++=dressings,
, ^zz++++=EXTRAWORD
topical ^jj+atrb+++=topical
nonsteroidal ^nn+++??+=nonsteroidal
anti ^nn+++??+=anti-inflammatory
- ^zz++++=EXTRAWORD
inflammatory ^jj+atrb+++=EXTRAWORD
drugs ^nns++++=drugs
( ^zz++++=(NSAIDs),
nsaids ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
topical ^jj+atrb+++=topical
opioids ^nns+++??+=opioids,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
local ^jj+atrb+++=local
anesthetics ^nns+++??+=anesthetics.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
antimicrobial ^nn+++??+=antimicrobial
dressings ^nns++++=dressings
containing ^vwbg+++xvbg+=containing
silver ^nn++++=silver
or ^cc++++=or
honey ^nn++++=honey
may ^md+pos+++=may
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^to++++=to
reduce ^vb++++=reduce
infection ^nn++++=infection
and ^cc++++=and
associated ^jj+atrb++xvbn+=associated
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
selection ^nn++++=selection
of ^in++++=of
a ^at++++=a
specific ^jj+atrb+++=specific
topical ^jj+atrb+++=topical
therapy ^nn++++=therapy
depends ^vbz++++=depends
on ^in++++=on
factors ^nns++++=factors
such ^abl++++=such
as ^cs+sub+++=as
wound ^xvbn+++xvbn+=wound
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
the ^ati++++=the
severity ^nn++++=severity
of ^in++++=of
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
patient ^nn++++=patient
preferences ^nns++++=preferences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
infection ^nn++++=infection
or ^cc++++=or
exudate ^nn+++??+=exudate.
. ^zz++++=EXTRAWORD
Current ^jj+atrb+++=Current
evidence ^nn++++=evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
a ^at++++=a
multimodal ^nn+++??+=multimodal
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
tailored ^j+++xvbn+=tailored
to ^in++++=to
individual ^jj+atrb+++=individual
patient ^nn++++=patient
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
effective ^jj++++=effective
in ^in++++=in
managing ^jj+atrb+++=managing
pain ^nn++++=pain
associated ^jj++++=associated
with ^in++++=with
mfws ^np++++=MFWs.
. ^zz++++=EXTRAWORD
