Studies ^nns++++=Studies
predominantly ^rb++++=predominantly
focused ^vbd+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
dressings ^nns++++=dressings
as ^in++++=as
a ^at++++=a
topical ^jj+atrb+++=topical
therapy ^nn++++=therapy
for ^in++++=for
managing ^xvbg+++xvbg+=managing
pain ^nn++++=pain
associated ^vbd+++xvbn+=associated
with ^in++++=with
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wounds ^nns++++=wounds
( ^zz++++=(MFWs).
mfws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Particular ^jj+atrb+++=Particular
attention ^nn++++=attention
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
pain ^nn++++=pain
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
dressing ^xvbg+++xvbg+=dressing
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
often ^rb++splt++=often
caused ^vpsv++by+xvbnx+=caused
by ^in++++=by
the ^ati++++=the
adhesion ^nn++++=adhesion
of ^in++++=of
the ^ati++++=the
dressing ^jj+++xvbg+=dressing
to ^in++++=to
the ^ati++++=the
wound ^nn+++xvbn+=wound
bed ^nn++++=bed
and ^cc++++=and
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
difficulty ^nn++++=difficulty
in ^in++++=in
removal ^nn++++=removal.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
underscore ^nn+++??+=underscore
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
protecting ^xvbg+++xvbg+=protecting
the ^ati++++=the
fragile ^jj+atrb+++=fragile
tissue ^nn++++=tissue
within ^in++++=within
the ^ati++++=the
wound ^nn+++xvbn+=wound
bed ^nn++++=bed
of ^in++++=of
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wounds ^nns++++=wounds
to ^in++++=to
minimize ^jj+atrb++??+=minimize
pain ^nn++++=pain
during ^in++++=during
dressing ^xvbg+++xvbg+=dressing
changes ^nns++++=changes
( ^zz++++=(Woo
woo ^vb++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
woo ^np++++=Woo
& ^zz++++=&
sibbald ^np++++=Sibbald,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
