Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
oral ^jj+atrb+++=oral
health ^nn++++=health
on ^in++++=on
patients ^nns++++=patients'
' ^zz++++=EXTRAWORD
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
declined ^vprf+++xvbn+=declined
significantly ^rb++++=significantly
across ^in+pl+++=across
the ^ati++++=the
study ^nn++++=study
stages ^nns++++=stages
( ^zz++++=(p<0.05),
p<0.05 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
large ^jj+atrb+++=large
effect ^nn++++=effect
sizes ^nns++++=sizes
observed ^vbd+++xvbn+=observed
for ^in++++=for
all ^abn++++=all
domains ^nns++++=domains
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
total ^jj+atrb+++=total
score ^nn++++=score.
. ^zz++++=EXTRAWORD
