Children ^nns++++=Children
aged ^jj++++=aged
4 ^zz++++=4
to ^to++++=to
5 ^zz++++=5
years ^nns++++=years
participated ^vbd+++xvbn+=participated
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
assigned ^vpsv++agls+xvbnx+=assigned
to ^to++++=to
three ^cd++++=three
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
balanced ^j+++xvbn+=balanced
for ^in++++=for
age ^nn++++=age
and ^cc++++=and
gender ^nn++++=gender.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
group ^nn++++=group
attended ^vbd+++xvbn+=attended
an ^at++++=an
equal ^jj+atrb+++=equal
number ^nn++++=number
of ^in++++=of
sessions ^nns++++=sessions,
, ^zz++++=EXTRAWORD
conducted ^j+++xvbn+=conducted
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
location ^nn++++=location
and ^cc++++=and
utilizing ^jj+atrb++??+=utilizing
identical ^jj+atrb+++=identical
materials ^nns++++=materials;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
each ^dt++++=each
group ^nn++++=group
was ^vbd+bedz+aux++=was
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
a ^at++++=a
different ^jj+atrb+++=different
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
assignment ^nn++++=assignment
of ^in++++=of
approaches ^nns++++=approaches
to ^in++++=to
groups ^nns++++=groups
determined ^vbd+++xvbn+=determined
randomly ^rb++++=randomly.
. ^zz++++=EXTRAWORD
the ^ati++++=The
scenario ^nn++++=scenario
presented ^vbd+++xvbn+=presented
was ^vbd+bedz+aux++=was
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
