Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
conversations ^nns++++=conversations
among ^in++++=among
the ^ati++++=the
three ^cd++++=three
social ^jj+atrb+++=social
actors ^nns++++=actors
involved ^vbd+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
communication ^nn++++=communication,
, ^zz++++=EXTRAWORD
with ^in++++=with
each ^dt++++=each
speech ^nn++++=speech
transcribed ^nn++++=transcribed
and ^cc++++=and
segmented ^nn++++=segmented
into ^in++++=into
individual ^jj+atrb+++=individual
clauses ^nns++++=clauses.
. ^zz++++=EXTRAWORD
