As ^in++++=As
noted ^nn++++=noted
in ^in++++=in
the ^ati++++=the
previous ^jj+atrb+++=previous
section ^nn++++=section,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
scarcity ^nn++++=scarcity
of ^in++++=of
research ^nn++++=research
on ^in++++=on
didactic ^nn+++??+=didactic
materials ^nns++++=materials
specifically ^rb++++=specifically
designed ^vbd+++xvbn+=designed
for ^in++++=for
Brazilian ^jj+atrb+++=Brazilian
blind ^jj+atrb+++=blind
students ^nns++++=students,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
English ^jj++++=English
as ^ql++++=as
an ^at++++=an
Additional ^jj+atrb+++=Additional
Language ^nn++++=Language
( ^zz++++=(EAL),
eal ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
reviewed ^jj+atrb++xvbn+=reviewed
articles ^nns++++=articles
addressed ^vbd+++xvbn+=addressed
this ^dt+dem+++=this
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
lack ^nn++++=lack
of ^in++++=of
research ^nn++++=research
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
unique ^jj++++=unique
to ^in++++=to
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
English ^jj+atrb+++=English
language ^nn++++=language
education ^nn++++=education;
; ^zz++++=EXTRAWORD
similar ^jj++++=similar
challenges ^vbz++++=challenges
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
other ^ap++++=other
disciplines ^nns++++=disciplines,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Physics ^nn++++=Physics
( ^zz++++=(Ferreira
ferreira ^nn+++??+=EXTRAWORD
& ^zz++++=&
Dickman ^np+++??+=Dickman,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Music ^nn++++=Music
( ^zz++++=(Oliveira
oliveira ^nn+++??+=EXTRAWORD
& ^zz++++=&
Reily ^np+++??+=Reily,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
highlighting ^nn+++??+=highlighting
a ^at++++=a
broader ^jjr+atrb+++=broader
need ^nn++++=need
for ^in++++=for
further ^jjb+atrb+++=further
investigation ^nn++++=investigation.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
a ^at++++=a
significant ^jj+atrb+++=significant
research ^nn++++=research
gap ^nn++++=gap
across ^in+pl+++=across
multiple ^jj+atrb+++=multiple
educational ^jj+atrb+++=educational
fields ^nns++++=fields
and ^cc++++=and
underscore ^nn+++??+=underscore
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
collaborating ^nn++++=collaborating
with ^in++++=with
colleagues ^nns++++=colleagues
and ^cc++++=and
special ^jj+atrb+++=special
educators ^nns++++=educators
to ^to++++=to
develop ^vbi++++=develop
and ^cc+phrs+++=and
adapt ^vb++++=adapt
instructional ^jj+atrb+++=instructional
materials ^nns++++=materials
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students
in ^in++++=in
all ^abn++++=all
subject ^nn++++=subject
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
