Subsequent ^jj+atrb+++=Subsequent
activities ^nns++++=activities
focus ^nn++++=focus
on ^in++++=on
reinforcing ^xvbg+++xvbg+=reinforcing
the ^ati++++=the
vocabulary ^nn++++=vocabulary
introduced ^vwbn+++xvbn+=introduced
in ^in++++=in
Unit ^nn++++=Unit
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
exercise ^nn++++=exercise
reviews ^nns++++=reviews
school ^nn++++=school
subjects ^nns++++=subjects
by ^in++++=by
requiring ^xvbg+++xvbg+=requiring
students ^nns++++=students
to ^in++++=to
label ^nn++++=label
figures ^nns++++=figures
with ^in++++=with
the ^ati++++=the
appropriate ^jj+atrb+++=appropriate
subject ^nn++++=subject
names ^nns++++=names.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
exercise ^nn++++=exercise
addresses ^nns++++=addresses
the ^ati++++=the
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
week ^nn++++=week,
, ^zz++++=EXTRAWORD
instructing ^vbg+++xvbg+=instructing
students ^nns++++=students
to ^to++++=to
write ^vbi++++=write
the ^ati++++=the
seven ^cd++++=seven
days ^nns++++=days
in ^in++++=in
the ^ati++++=the
correct ^jj++++=correct
order ^to++++=order.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
activity ^nn++++=activity
related ^vbd+++xvbn+=related
to ^in++++=to
Unit ^nn++++=Unit
5 ^zz++++=5
content ^nn++++=content,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
students ^nns++++=students
complete ^vb++++=complete
a ^at++++=a
family ^nn++++=family
tree ^nn++++=tree
by ^in++++=by
identifying ^xvbg+++xvbg+=identifying
and ^cc++++=and
labeling ^jj+atrb++??+=labeling
family ^nn++++=family
members ^nns++++=members.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
exercise ^nn++++=exercise,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
reviews ^nns++++=reviews
vocabulary ^nn++++=vocabulary
from ^in++++=from
Unit ^nn++++=Unit
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
presents ^vbz++++=presents
images ^nns++++=images
of ^in++++=of
parts ^nns++++=parts
of ^in++++=of
a ^at++++=a
house ^nn++++=house
and ^cc++++=and
various ^jj+atrb+++=various
pieces ^nns++++=pieces
of ^in++++=of
furniture ^nn++++=furniture,
, ^zz++++=EXTRAWORD
prompting ^nn++++=prompting
students ^nns++++=students
to ^to++++=to
write ^vbi++++=write
the ^ati++++=the
corresponding ^jj+atrb+++=corresponding
terms ^nns++++=terms
beneath ^in+pl+++=beneath
each ^dt++++=each
image ^nn++++=image.
. ^zz++++=EXTRAWORD
