Against ^in++++=Against
this ^dt+dem+++=this
background ^nn++++=background,
, ^zz++++=EXTRAWORD
clarifying ^vbg+++xvbg+=clarifying
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
mode ^nn++++=mode
is ^vbz+bez+vrb++=is
essential ^nn++++=essential,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
by ^in++++=by
drawing ^xvbg+++xvbg+=drawing
on ^in++++=on
insights ^nns++++=insights
from ^in++++=from
micro ^nn+++??+=micro-linguistics,
- ^zz++++=EXTRAWORD
linguistics ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
currently ^rb++++=currently
provides ^vbz+vsua+++=provides
a ^at++++=a
foundational ^nn+++??+=foundational
framework ^nn++++=framework
for ^in++++=for
social ^jj+atrb+++=social
semiotics ^nns+++??+=semiotics.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
relationship ^nn++++=relationship
may ^md+pos+++=may
justify ^vb++++=justify
the ^ati++++=the
adoption ^nn++++=adoption
of ^in++++=of
relevant ^jj+atrb+++=relevant
linguistic ^jj+atrb+++=linguistic
frameworks ^nns++++=frameworks
within ^in++++=within
the ^ati++++=the
discourse ^nn++++=discourse
of ^in++++=of
social ^jj+atrb+++=social
semiotics ^nns+++??+=semiotics,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
some ^dti++++=some
objections ^nns++++=objections
regarding ^in++++=regarding
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
linguistic ^jj+atrb+++=linguistic
conceptual ^jj+atrb+++=conceptual
dominance ^nn++++=dominance
( ^zz++++=(Bateman,
bateman ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Delin ^np+++??+=Delin,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Henshel ^np+++??+=Henshel,
 ^zz++++=EXTRAWORD
002 ^cd++++=2002;
 ^zz++++=EXTRAWORD
Bezemer ^np++++=Bezemer
 ^zz++++=&
Jewitt ^np++++=Jewitt,
 ^zz++++=EXTRAWORD
010 ^cd++++=2010).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
