Walkington ^np+++??+=Walkington,
, ^zz++++=EXTRAWORD
Chelule ^np+++??+=Chelule,
, ^zz++++=EXTRAWORD
Woods ^nns++++=Woods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nathan ^np++++=Nathan
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
gestures ^nns++++=gestures
are ^vb+ber+vrb++=are
integral ^jj+pred+++=integral
to ^in++++=to
mathematical ^jj+atrb+++=mathematical
reasoning ^nvbg+++xvbg+=reasoning,
, ^zz++++=EXTRAWORD
serving ^vbg+++xvbg+=serving
as ^ql++++=as
evidence ^nn++++=evidence
that ^tht+rel+++=that
mathematical ^jj+atrb+++=mathematical
understanding ^nvbg+++xvbg+=understanding
is ^vbz+bez+aux++=is
embodied ^vpsv++agls+xvbnx+=embodied
and ^cc++++=and
closely ^rb++++=closely
associated ^vbd+++xvbn+=associated
with ^in++++=with
action ^nn++++=action,
, ^zz++++=EXTRAWORD
perception ^nn++++=perception,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
physical ^jj+atrb+++=physical
body ^nn++++=body.
. ^zz++++=EXTRAWORD
During ^in++++=During
collaborative ^nn+++??+=collaborative
mathematical ^jj+atrb+++=mathematical
discussions ^nns++++=discussions,
, ^zz++++=EXTRAWORD
students ^nns++++=students
employ ^vb++++=employ
various ^jj+atrb+++=various
discourse ^nn++++=discourse
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
including ^in++++=including
explaining ^xvbg+++xvbg+=explaining,
, ^zz++++=EXTRAWORD
refuting ^vbg+++xvbg+=refuting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
building ^nvbg+++xvbg+=building
upon ^in++++=upon
each ^dt++++=each
other's ^ppls++++=other's
reasoning ^nvbg+++xvbg+=reasoning,
, ^zz++++=EXTRAWORD
frequently ^rb++++=frequently
combining ^vbg+++xvbg+=combining
speech ^nn++++=speech
with ^in++++=with
gesture ^nn++++=gesture
to ^to++++=to
communicate ^vb++++=communicate
their ^pp$+pp3+++=their
ideas ^nns++++=ideas.
. ^zz++++=EXTRAWORD
