Developing ^vbg+++xvbg+=Developing
research ^nn++++=research
based ^vwbn+++xvbn+=based
on ^in++++=on
gesture ^nn++++=gesture
analysis ^nn++++=analysis
is ^vbz+bez+vrb++=is
promising ^jj+pred+++=promising,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
gestures ^nns++++=gestures
in ^in++++=in
educational ^jj+atrb+++=educational
contexts ^nns++++=contexts
remains ^nns++++=remains
under ^in++++=under-researched
- ^zz++++=EXTRAWORD
researched ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
relatively ^rb++++=relatively
recent ^jj+atrb+++=recent
area ^nn++++=area
of ^in++++=of
inquiry ^nn++++=inquiry
( ^zz++++=(Flood
flood ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Gestures ^nns++++=Gestures
are ^vb+ber+vrb++=are
naturally ^rb++++=naturally
present ^jj+pred+++=present
in ^in++++=in
daily ^jj+atrb+++=daily
interactions ^nns++++=interactions
and ^cc++++=and
serve ^vb++++=serve
as ^in++++=as
an ^at++++=an
additional ^jj+atrb+++=additional
communication ^nn++++=communication
channel ^nn++++=channel
between ^in++++=between
tutors ^nns++++=tutors
and ^cc++++=and
learners ^nns++++=learners,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
this ^dt+dem+++=this
aspect ^nn++++=aspect
is ^vbz+bez+aux++=is
insufficiently ^rb++splt++=insufficiently
addressed ^vpsv++agls+xvbnx+=addressed
in ^in++++=in
most ^ql+emph+++=most
learning ^jj+atrb++xvbg+=learning
theories ^nns++++=theories.
. ^zz++++=EXTRAWORD
Investigating ^vbg+++xvbg+=Investigating
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
gestures ^nns++++=gestures
may ^md+pos+++=may
therefore ^rb+cnj+splt++=therefore
provide ^vb+vsua+++=provide
valuable ^jj+atrb+++=valuable
insights ^nns++++=insights
into ^in++++=into
their ^pp$+pp3+++=their
potential ^nn++++=potential
to ^to+ncmp+++=to
support ^vbi++++=support
and ^cc+phrs+++=and
enhance ^vb++++=enhance
the ^ati++++=the
learning ^nn++++=learning
process ^nn++++=process.
. ^zz++++=EXTRAWORD
