Teaching ^vbg+vsua+tht0+xvbg+=Teaching
an ^at++++=an
additional ^jj+atrb+++=additional
language ^nn++++=language
presents ^vbz++++=presents
significant ^jj++++=significant
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
requires ^vbz++++=requires
teachers ^vb++++=teachers
to ^to+vcmp+++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
safe ^jj+atrb+++=safe
and ^cc+phrs+++=and
productive ^jj+atrb+++=productive
environment ^nn++++=environment
where ^wrb+who+++=where
students ^nns++++=students
feel ^vb+vprv+++=feel
comfortable ^jj++++=comfortable
expressing ^jj+++xvbg+=expressing
themselves ^ppls+pp3+++=themselves
and ^cc+cls+++=and
where ^wrb+who+++=where
positive ^jj+atrb+++=positive
rapport ^nn+++??+=rapport
is ^vbz+bez+aux++=is
fostered ^vpsv++agls+xvbnx+=fostered
( ^zz++++=(Hughey,
hughey ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
objective ^nn++++=objective
of ^in++++=of
an ^at++++=an
additional ^jj+atrb+++=additional
language ^nn++++=language
class ^nn++++=class
is ^vbz+bez+aux++=is
to ^to++++=to
encourage ^vbi++++=encourage
students ^nns++++=students
to ^to++++=to
engage ^vbi++++=engage
in ^in++++=in
critical ^jj+atrb+++=critical
thinking ^jj+atrb++xvbg+=thinking
and ^cc+phrs+++=and
active ^jj+atrb+++=active
language ^nn++++=language
use ^nn++++=use
through ^in++++=through
participation ^nn++++=participation
in ^in++++=in
multimodal ^nn+++??+=multimodal
genres ^nns+++??+=genres,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
enabling ^vbg+++xvbg+=enabling
them ^pp3o+pp3+++=them
to ^to++++=to
understand ^vbi+vprv+++=understand
language ^nn++++=language
as ^in++++=as
constitutive ^nn++++=constitutive
of ^in++++=of
situated ^vbd+++xvbn+=situated
social ^jj+atrb+++=social
practices ^nns++++=practices
( ^zz++++=(Motta-Roth
motta ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
roth ^np++++=EXTRAWORD
& ^zz++++=&
heberle ^np++++=Heberle,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
