Effective ^jj+atrb+++=Effective
communication ^nn++++=communication
reduces ^vbz++++=reduces
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
misunderstandings ^nns++++=misunderstandings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uncertainty ^nn++++=uncertainty,
, ^zz++++=EXTRAWORD
contributing ^vbg+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
satisfaction ^nn++++=satisfaction
of ^in++++=of
both ^abx++++=both
patients ^nns++++=patients
and ^cc++++=and
dental ^jj+atrb+++=dental
professionals ^nns++++=professionals.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
factor ^nn++++=factor
likely ^jj++++=likely
contributed ^jj+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
outcomes ^nn++++=outcomes
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
as ^ql++++=as
all ^abn++++=all
participating ^jj+atrb++xvbg+=participating
dentists ^nns++++=dentists
were ^vbd+bed+vrb++=were
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
oral ^jj+atrb+++=oral
health ^nn++++=health
team ^nn++++=team
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
had ^vb+hv+vrb++=had
experience ^nn++++=experience
working ^vwbg+++xvbg+=working
with ^in++++=with
indigenous ^jj+atrb+++=indigenous
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
have ^vb+hv+vrb++=have
enhanced ^jj++++=enhanced
the ^ati++++=the
professional ^jj++++=professional-patient
- ^zz++++=EXTRAWORD
patient ^nn++++=EXTRAWORD
relationship ^nn++++=relationship.
. ^zz++++=EXTRAWORD
