Fisher ^np++++=Fisher's
's ^$++++=EXTRAWORD
exact ^jj+atrb+++=exact
test ^nn++++=test
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
square ^nn++++=square
contingency ^nn++++=contingency
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
rows ^nns++++=rows
and ^cc++++=and
columns ^nns++++=columns
is ^vbz+bez+vrb++=is
equal ^jj+pred+++=equal,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Pearson ^np++++=Pearson's
's ^$++++=EXTRAWORD
chi ^np++++=chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
test ^nn++++=test
( ^zz++++=(
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
non ^&fw++++=non-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
rows ^nns++++=rows
and ^cc++++=and
columns ^nns++++=columns
differs ^vbz++++=differs;
; ^zz++++=EXTRAWORD
both ^abx++++=both
tests ^nns++++=tests
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
variables ^nns++++=variables
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
symptomatic ^jj+atrb+++=symptomatic
levels ^nns++++=levels
of ^in++++=of
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
the ^ati++++=the
idate ^np++++=IDATE-T
- ^zz++++=EXTRAWORD
t ^zz++++=EXTRAWORD
and ^cc++++=and
idate ^np++++=IDATE-E
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
scores ^nns++++=scores.
. ^zz++++=EXTRAWORD
