Among ^in++++=Among
the ^ati++++=the
interviewees ^nns++++=interviewees,
, ^zz++++=EXTRAWORD
the ^ati++++=the
selection ^nn++++=selection
of ^in++++=of
brokers ^nns++++=brokers
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
guided ^vpsv++agls+xvbnx+=guided
primarily ^rb+down+++=primarily
by ^in++++=by
regional ^jj+atrb+++=regional
considerations ^nns++++=considerations
and ^cc++++=and
often ^rb++++=often
occurs ^vbz++++=occurs
through ^in++++=through
various ^jj+atrb+++=various
informal ^jj+atrb+++=informal
channels ^nns++++=channels.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
alliances ^nns++++=alliances
may ^md+pos+++=may
be ^vb+be+aux++=be
initiated ^vpsv++by+xvbnx+=initiated
by ^in++++=by
mayors ^npts++++=mayors
who ^whp+rel+obj++=who
proactively ^nn+++??+=proactively
contact ^nn++++=contact
legislators ^nns+++??+=legislators
to ^in++++=to
request ^nn++++=request
support ^nn++++=support
and ^cc++++=and
propose ^vb++++=propose
partnerships ^nns+++??+=partnerships.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
common ^jj+pred+++=common
among ^in++++=among
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^jj+atrb++xvbn+=EXTRAWORD
orphan ^nn++++=orphan
mayors ^npts++++=mayors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lack ^vb++++=lack
legislative ^jj++++=legislative
backing ^jj+++xvbg+=backing
either ^dtx++++=either
because ^cs+cos+++=because
of ^in++++=of
a ^at++++=a
severed ^jj+atrb++xvbn+=severed
relationship ^nn++++=relationship
or ^cc+cls+++=or
because ^cs+cos+++=because
their ^pp$+pp3+++=their
preferred ^vbd+++xvbn+=preferred
candidate ^nn++++=candidate
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
elected ^jj+++xvbn+=elected.
. ^zz++++=EXTRAWORD
Mayors ^np+++??+=Mayors
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
region ^nn++++=region
or ^cc++++=or
neighboring ^jj+atrb+++=neighboring
municipalities ^nns+++??+=municipalities
frequently ^rb++++=frequently
communicate ^vb++++=communicate
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another;
; ^zz++++=EXTRAWORD
a ^at++++=a
mayor ^npt++++=mayor
may ^md+pos+++=may
recommend ^vb+vsua+++=recommend
a ^at++++=a
legislator ^nn++++=legislator
to ^in++++=to
a ^at++++=a
colleague ^nn++++=colleague,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
an ^at++++=an
orphan ^nn++++=orphan
mayor ^npt++++=mayor
may ^md+pos+++=may
seek ^vb++++=seek
advice ^nn++++=advice
from ^in++++=from
a ^at++++=a
neighboring ^jj+atrb+++=neighboring
mayor ^nn++++=mayor.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
interviewees ^nns++++=interviewees
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
when ^wrb+who+++=when
approached ^vpsv++by+xvbn+=approached
by ^in++++=by
a ^at++++=a
new ^jj+atrb+++=new
mayor ^npt++++=mayor,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
gather ^vb+vprv+++=gather
information ^nn++++=information
about ^in++++=about
the ^ati++++=the
individual ^nn++++=individual,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
consulting ^jj+++xvbg+=consulting
former ^ap++++=former
allies ^nns++++=allies,
, ^zz++++=EXTRAWORD
highlighting ^nn+++??+=highlighting
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
reputation ^nn++++=reputation
in ^in++++=in
alliance ^nn++++=alliance
formation ^nn++++=formation
and ^cc++++=and
suggesting ^vbg+vpub++xvbg+=suggesting
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
ex ^np++++=ex-ante
- ^zz++++=EXTRAWORD
ante ^nn+++??+=EXTRAWORD
screening ^vbg+++xvbg+=screening
mechanisms ^nns++++=mechanisms
at ^in++++=at
the ^ati++++=the
outset ^nn++++=outset
of ^in++++=of
these ^dt+dem+++=these
relationships ^nns++++=relationships.
. ^zz++++=EXTRAWORD
