Two ^cd++++=Two
new ^jj+atrb+++=new
species ^nns++++=species
were ^vbd+bed+aux++=were
described ^vpsv++agls+xvbnx+=described
at ^rb++++=at
the ^ati++++=the
Aba ^np+++??+=ABA
Farm ^nn++++=Farm
by ^in++++=by
Monteiro ^np+++??+=Monteiro
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Harley ^np++++=Harley
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019).
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
species ^nns++++=species,
, ^zz++++=EXTRAWORD
Harpochilus ^np+++??+=Harpochilus
paraibanus ^nns+++??+=paraibanus
Fks ^np+++??+=FKS
Monteiro ^np+++??+=Monteiro,
, ^zz++++=EXTRAWORD
Jim ^np++++=JIM
Melo ^np+++??+=Melo
& ^zz++++=&
Emp ^np+++??+=EMP
Fernando ^np++++=Fernando,
, ^zz++++=EXTRAWORD
belongs ^vbz++++=belongs
to ^in++++=to
the ^ati++++=the
family ^nn++++=family
Acanthaceae ^np+++??+=Acanthaceae
and ^cc++++=and
the ^ati++++=the
genus ^nns+++??+=genus
Harpochilus ^np+++??+=Harpochilus
Nees ^np+++??+=Nees.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
shrub ^nn++++=shrub
characterized ^nn+++??+=characterized
by ^in++++=by
a ^at++++=a
cream ^nn++++=cream-yellow
- ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=EXTRAWORD
inflorescence ^nn+++??+=inflorescence
and ^cc++++=and
was ^vbd+bedz+aux++=was
described ^vpsv++agls+xvbnx+=described
from ^in++++=from
the ^ati++++=the
semiarid ^nn+++??+=semiarid
region ^nn++++=region
of ^in++++=of
Para ^nn++++=Para
ba ^nn+++??+=ba
( ^zz++++=(Monteiro
monteiro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
species ^nn++++=species,
, ^zz++++=EXTRAWORD
Mesosphaerum ^np+++??+=Mesosphaerum
caatingense ^nn+++??+=caatingense
Harley ^np++++=Harley
& ^zz++++=&
J.f.b ^np+++??+=J.F.B.
. ^zz++++=EXTRAWORD
Pastore ^np+++??+=Pastore,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
Lamiaceae ^np+++??+=Lamiaceae
and ^cc++++=and
the ^ati++++=the
genus ^nns+++??+=genus
Mesosphaerum ^np+++??+=Mesosphaerum
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Browne ^np++++=Browne.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
subshrub ^nn+++??+=subshrub
was ^vbd+bedz+aux++=was
described ^vpsv++agls+xvbnx+=described
for ^in++++=for
the ^ati++++=the
Caatinga ^np+++??+=Caatinga
biome ^nn+++??+=biome
and ^cc++++=and
is ^vbz+bez+aux++=is
distributed ^vpsv++agls+xvbnx+=distributed
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Para ^nn++++=Para
ba ^nn+++??+=ba,
, ^zz++++=EXTRAWORD
Pernambuco ^np+++??+=Pernambuco,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
Do ^vb+do+vrb++=do
Norte ^np++++=Norte
 ^zz++++=(Harley
Harley ^np++++=EXTRAWORD
Et ^&fw++++=et
Al ^&fw++++=al.
 ^zz++++=EXTRAWORD
019 ^cd++++=2019).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
