All ^abn++++=All
interviewees ^nns++++=interviewees
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
legislator ^nn++++=legislator
maintains ^vbz+vpub+++=maintains
a ^at++++=a
regional ^jj+atrb+++=regional
office ^nn++++=office
and ^cc++++=and/or
employs ^vbz++++=employs
advisors ^nns++++=advisors
in ^in++++=in
one ^cd1++++=one
or ^cc++++=or
more ^ql++++=more
municipalities ^nns+++??+=municipalities
relevant ^jj++++=relevant
to ^in++++=to
her ^pp$+pp3+++=her
constituency ^nn++++=constituency.
. ^zz++++=EXTRAWORD
The ^ati++++=The
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
employees ^nns++++=employees
across ^in+pl+++=across
these ^dt+dem+++=these
offices ^nns++++=offices
is ^vbz+bez+vrb++=is
approximately ^rb+down+++=approximately
20 ^cd++++=20,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
a ^at++++=a
small ^jj+atrb+++=small
proportion ^nn++++=proportion
( ^zz++++=(between
between ^in++++=EXTRAWORD
1 ^zz++++=1
and ^cc++++=and
4 ^zz++++=4
individuals ^nns++++=individuals)
) ^zz++++=EXTRAWORD
assigned ^vbd+++xvbn+=assigned
to ^in++++=to
the ^ati++++=the
regional ^jj+atrb+++=regional
office ^nn++++=office.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
staff ^nn++++=staff
( ^zz++++=(9
9 ^zz++++=EXTRAWORD
individuals ^nns++++=individuals)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
based ^vpsv++agls+xvbnx+=based
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
and ^cc++++=and
were ^vbd+bed+aux++=were
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
join ^vbi++++=join
a ^at++++=a
new ^jj+atrb+++=new
office ^nn++++=office
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
in ^in+cmpx+++=in
the ^in"++++=the
process ^in"++++=process
of ^in"++++=of
being ^nn+nn+aux++=being
established ^vbd+vprv++xvbn+=established.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
responsibilities ^nns++++=responsibilities
of ^in++++=of
these ^dt+dem+++=these
regional ^jj+atrb+++=regional
advisors ^nns++++=advisors
include ^vb++++=include
identifying ^jj+atrb++xvbg+=identifying
local ^jj+atrb+++=local
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
compensating ^jj+++xvbg+=compensating
for ^in++++=for
the ^ati++++=the
legislator ^nn++++=legislator
s ^zz++++=s
physical ^jj+atrb+++=physical
absence ^nn++++=absence
in ^in++++=in
the ^ati++++=the
region ^nn++++=region,
, ^zz++++=EXTRAWORD
conveying ^vbg+++xvbg+=conveying
the ^ati++++=the
perspectives ^nns++++=perspectives
and ^cc++++=and
concerns ^nns++++=concerns
of ^in++++=of
citizens ^nns++++=citizens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
serving ^vbg+++xvbg+=serving
as ^ql++++=as
intermediaries ^nns++++=intermediaries
between ^in++++=between
the ^ati++++=the
regional ^jj+atrb+++=regional
population ^nn++++=population
and ^cc++++=and
the ^ati++++=the
legislator ^nn++++=legislator
( ^zz++++=(Chief
chief ^jjb++++=EXTRAWORD
of ^in++++=of
staff ^nn++++=Staff
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
