At ^rb++++=At
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
the ^ati++++=the
advertisement ^nn++++=advertisement,
, ^zz++++=EXTRAWORD
a ^at++++=a
voiceover ^nn+++??+=voiceover
states ^nns++++=states
that ^tht+rel+obj++=that
the ^ati++++=the
new ^jj++++=new
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
toothpaste ^nn++++=toothpaste
is ^vbz+bez+aux++=is
intended ^vpsv++agls+xvbnx+=intended
for ^in++++=for
strong ^jj+atrb+++=strong
teeth ^nns++++=teeth
and ^cc++++=and
long ^jj++++=long-lasting
- ^zz++++=EXTRAWORD
lasting ^jj+atrb++xvbg+=EXTRAWORD
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
Simultaneously ^rb+cnj+++=Simultaneously,
, ^zz++++=EXTRAWORD
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
the ^ati++++=the
female ^jj+atrb+++=female
model ^nn++++=model
reappears ^vbz+seem+++=reappears,
, ^zz++++=EXTRAWORD
performing ^vbg+++xvbg+=performing
specific ^jj+atrb+++=specific
gestures ^nns++++=gestures:
: ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
raises ^vbz++++=raises
her ^pp$+pp3+++=her
hands ^nns++++=hands
and ^cc++++=and
exhales ^nns+++??+=exhales
into ^in++++=into
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
raising ^xvbg+++xvbg+=raising
her ^pp3o+pp3+++=her
right ^jj+atrb+++=right
hand ^nn++++=hand
and ^cc++++=and
tapping ^vbg+++xvbg+=tapping
her ^pp$+pp3+++=her
teeth ^nns++++=teeth
with ^in++++=with
her ^pp$+pp3+++=her
finger ^nn++++=finger
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
gesture ^nn++++=gesture
is ^vbz+bez+aux++=is
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
signify ^vbi++++=signify
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
second ^od++++=second
is ^vbz+bez+aux++=is
meant ^vpsv++agls+xvbnx+=meant
to ^to+vcmp+++=to
indicate ^vbi+vprv+++=indicate
strong ^jj+atrb+++=strong
teeth ^nns++++=teeth
to ^in++++=to
