Regarding ^in++++=Regarding
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
papers ^nns++++=papers
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
categories ^nns++++=categories
identified ^vwbn+++xvbn+=identified
during ^in++++=during
the ^ati++++=the
review ^nn++++=review,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
( ^zz++++=(71%)
71 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
focus ^nn++++=focus
on ^in++++=on
activities ^nns++++=activities
implemented ^vwbn+++xvbn+=implemented
in ^in++++=in
classroom ^nn++++=classroom
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
21 ^cd++++=21%
% ^zz++++=EXTRAWORD
pertain ^nn+++??+=pertain
to ^in++++=to
research ^nn++++=research
addressing ^vwbg+++xvbg+=addressing
second ^od++++=second
language ^nn++++=language
teaching ^vwbg+vsua++xvbg+=teaching
through ^in++++=through
gesture ^nn++++=gesture
and ^cc++++=and
inclusive ^jj+atrb+++=inclusive
education ^nn++++=education,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
consist ^vb++++=consist
of ^in++++=of
articles ^nns++++=articles
categorized ^nn++++=categorized
as ^ql++++=as
theoretical ^jj+atrb+++=theoretical
reflections ^nns++++=reflections.
. ^zz++++=EXTRAWORD
