Dialogism ^np+++??+=Dialogism
is ^vbz+bez+vrb++=is
a ^at++++=a
central ^jj+atrb+++=central
concept ^nn++++=concept
in ^in++++=in
Bakhtin ^np+++??+=Bakhtin
s ^zz++++=s
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
employed ^vbd+++xvbnx+=employed
the ^ati++++=the
term ^nn++++=term
in ^in++++=in
multiple ^jj+atrb+++=multiple
senses ^nns++++=senses
( ^zz++++=(Morson
morson ^nn+++??+=EXTRAWORD
& ^zz++++=&
Emerson ^np+++??+=Emerson,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990,
, ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
130 ^cd++++=130
131 ^cd++++=131).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
general ^jj++++=general,
, ^zz++++=EXTRAWORD
Bakhtin ^np+++??+=Bakhtin
regards ^in++++=regards
all ^abn++++=all
utterances ^nns++++=utterances
as ^ql++++=as
dialogic ^vb+++??+=dialogic
in ^in++++=in
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
inherently ^rb++++=inherently
responsive ^jj+pred+++=responsive
to ^in++++=to
previous ^jj+atrb+++=previous
statements ^nns++++=statements
and ^cc++++=and
anticipate ^vb++++=anticipate
future ^jjb+atrb+++=future
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
situating ^nn++++=situating
each ^dt++++=each
utterance ^nn++++=utterance
within ^in++++=within
a ^at++++=a
broader ^jjr+atrb+++=broader
communicative ^nn++++=communicative
context ^nn++++=context.
. ^zz++++=EXTRAWORD
