Within ^in++++=Within
the ^ati++++=the
textile ^nn++++=textile
industry ^nn++++=industry,
, ^zz++++=EXTRAWORD
wage ^nn++++=wage
differentiation ^nn++++=differentiation
exists ^vbz++++=exists
between ^in++++=between
workers ^nns++++=workers
producing ^vwbg+++xvbg+=producing
wool ^nn++++=wool
raincoats ^nns++++=raincoats
and ^cc++++=and
those ^dt+dem+++=those
producing ^jj+atrb++xvbg+=producing
shorts ^nns++++=shorts,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
former ^ap++++=former
receiving ^jj+++xvbg+=receiving
a ^at++++=a
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
of ^in++++=of
11 ^cd++++=11
pesos ^nns++++=pesos
and ^cc++++=and
the ^ati++++=the
latter ^ap++++=latter
a ^at++++=a
minimum ^nn++++=minimum
of ^in++++=of
12 ^cd++++=12
pesos ^nns++++=pesos.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masons ^nns+++??+=masons'
' ^zz++++=EXTRAWORD
strike ^nn++++=strike
of ^in++++=of
1936 ^cd+date+++=1936
( ^zz++++=(Owen
owen ^np++++=EXTRAWORD
1938 ^cd+date+++=1938)
) ^zz++++=EXTRAWORD
prompted ^vbd+++xvbn+=prompted
the ^ati++++=the
authorities ^nns++++=authorities
to ^in++++=to
issue ^nn++++=issue
the ^ati++++=the
resolution ^nn++++=resolution
of ^in++++=of
March ^nn++++=March
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
established ^vbd+vprv++xvbn+=established
formal ^jj+atrb+++=formal
minimum ^nn++++=minimum
wages ^nns++++=wages
for ^in++++=for
various ^jj+atrb+++=various
occupational ^jj+atrb+++=occupational
categories ^nns++++=categories:
: ^zz++++=EXTRAWORD
6.40 ^cd++++=6.40
pesos ^nns++++=pesos
for ^in++++=for
foremen ^nn+++??+=foremen,
, ^zz++++=EXTRAWORD
5.2 ^cd++++=5.2
pesos ^nns++++=pesos
for ^in++++=for
foremen ^nn+++??+=foremen
s ^zz++++=s
assistants ^nns++++=assistants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
4.5 ^cd++++=4.5
pesos ^nns++++=pesos
for ^in++++=for
laborers ^nns++++=laborers.
. ^zz++++=EXTRAWORD
