Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
virtual ^jj+atrb+++=virtual
snowball ^nn+++??+=snowball
sampling ^nn++++=sampling
method ^nn++++=method
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
distribute ^vbi++++=distribute
a ^at++++=a
survey ^vb++++=survey
link ^nn++++=link
via ^in++++=via
the ^ati++++=the
social ^jj+atrb+++=social
network ^nn++++=network
Instagram ^np+++??+=Instagram.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
referral ^nn+++??+=referral
technique ^nn++++=technique
involved ^vbd+++xvbn+=involved
sending ^vbg+++xvbg+=sending
a ^at++++=a
standardized ^nn+++??+=standardized
message ^nn++++=message
that ^tht+rel+subj++=that
introduced ^vprf+++xvbn+=introduced
the ^ati++++=the
research ^nn++++=research
and ^cc++++=and
requested ^vbd+vsua++xvbn+=requested
recipients ^nns++++=recipients
to ^to++++=to
share ^vbi++++=share
the ^ati++++=the
survey ^nn++++=survey
with ^in++++=with
their ^pp$+pp3+++=their
own ^ap++++=own
network ^nn++++=network
of ^in++++=of
contacts ^nns++++=contacts.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
university ^npl++++=university
students ^nns++++=students
enrolled ^vbd+++xvbn+=enrolled
in ^in++++=in
any ^dti++++=any
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
their ^pp$+pp3+++=their
educational ^jj+atrb+++=educational
institution ^nn++++=institution
or ^cc++++=or
geographic ^jj+atrb++??+=geographic
location ^nn++++=location,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
able ^jj+pred+++=able
to ^to+jcmp+++=to
access ^vb++++=access
and ^cc++++=and
complete ^vb++++=complete
the ^ati++++=the
questionnaire ^nn++++=questionnaire.
. ^zz++++=EXTRAWORD
