Exploratory ^jj+atrb+++=Exploratory
factor ^nn++++=factor
analysis ^nn++++=analysis
( ^zz++++=(EFA)
efa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
a ^at++++=a
polychoric ^nn+++??+=polychoric
correlation ^nn++++=correlation
matrix ^nn++++=matrix
and ^cc++++=and
the ^ati++++=the
Robust ^jj++++=Robust
Diagonally ^rb++++=Diagonally
Weighted ^vbd+++xvbn+=Weighted
Least ^ql++++=Least
Squares ^nns++++=Squares
( ^zz++++=(RDWLS)
rdwls ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
extraction ^nn++++=extraction
method ^nn++++=method,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
when ^wrb+who+whcl++=when
the ^ati++++=the
univariate ^nn+++??+=univariate
distributions ^nns++++=distributions
of ^in++++=of
ordinal ^jj+atrb+++=ordinal
items ^nns++++=items
are ^vb+ber+vrb++=are
asymmetric ^jj+pred+++=asymmetric
( ^zz++++=(Asparouhov
asparouhov ^nn+++??+=EXTRAWORD
& ^zz++++=&
Muth ^np+++??+=Muth
n ^zz++++=n,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dimensionality ^np+++??+=Dimensionality
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
using ^vbg+++xvbg+=using
Parallel ^nn++++=Parallel
Analysis ^nn++++=Analysis
with ^in++++=with
random ^jj+atrb+++=random
permutation ^nn++++=permutation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
more ^rbr++++=more
accurate ^jj+atrb+++=accurate
approach ^nn++++=approach
for ^in++++=for
this ^dt+dem+++=this
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
determination ^nn++++=determination
of ^in++++=of
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
factors ^nns++++=factors
was ^vbd+bedz+aux++=was
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
percentage ^nn++++=percentage
of ^in++++=of
common ^nn++++=common
explained ^vbd+vpub++xvbn+=explained
variance ^nn++++=variance,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
guidelines ^nns+++??+=guidelines
of ^in++++=of
Timmerman ^np+++??+=Timmerman
and ^cc++++=and
Lorenzo ^np+++??+=Lorenzo-Seva
- ^zz++++=EXTRAWORD
seva ^nn+++??+=EXTRAWORD
( ^zz++++=(2011).
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
factor ^nn++++=factor
rotation ^nn++++=rotation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Robust ^jj+atrb+++=Robust
Promin ^np+++??+=Promin
method ^nn++++=method
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied
as ^ql++++=as
described ^vbd+++xvbn+=described
by ^in++++=by
ferrando ^np++++=Ferrando
and ^cc++++=and
lorenzo ^np++++=Lorenzo-Seva
- ^zz++++=EXTRAWORD
seva ^nn++++=EXTRAWORD
( ^zz++++=(2018).
2018 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
