A ^at++++=A
cause ^nn++++=cause-and-effect
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
effect ^nn++++=EXTRAWORD
relationship ^nn++++=relationship
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
which ^whp+rel+pied++=which
health ^nn++++=health
is ^vbz+bez+aux++=is
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
a ^at++++=a
topic ^nn++++=topic
exclusive ^jj++++=exclusive
to ^in++++=to
the ^ati++++=the
physical ^jj+atrb+++=physical
education ^nn++++=education
curriculum ^nn++++=curriculum.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
role ^nn++++=role
of ^in++++=of
physical ^jj+atrb+++=physical
education ^nn++++=education
is ^vbz+bez+aux++=is
to ^to++++=to
implement ^vbi++++=implement
interventions ^nns++++=interventions
that ^tht+rel+subj++=that
promote ^vb++++=promote
physical ^jj+atrb+++=physical
activity ^nn++++=activity
among ^in++++=among
all ^abn++++=all
students ^nns++++=students,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
achieving ^jj+atrb+++=achieving
specific ^jj+atrb+++=specific
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
outcomes ^nns++++=outcomes.
. ^zz++++=EXTRAWORD
however ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
