According ^in+cmpx+++=According
to ^in++++=to
Dimitrova ^np+++??+=Dimitrova,
, ^zz++++=EXTRAWORD
z ^zz++++=z
al ^&fw++++=al
kan ^nn+++??+=kan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Adamson ^np+++??+=Adamson
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gestural ^nn+++??+=gestural
understanding ^vwbg+++xvbg+=understanding
remains ^nns++++=remains
insufficiently ^rb++++=insufficiently
studied ^vbd+++xvbn+=studied,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
children ^nns++++=children
with ^in++++=with
autism ^nn+++??+=autism
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
who ^whp+rel+obj++=who
experience ^nn++++=experience
difficulties ^nns++++=difficulties
in ^in++++=in
gesture ^nn++++=gesture
production ^nn++++=production.
. ^zz++++=EXTRAWORD
Building ^nvbg+++xvbg+=Building
on ^in++++=on
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
Mcneill ^np+++??+=McNeill
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
researchers ^vbz+++??+=researchers
investigated ^vprf+++xvbn+=investigated
children ^nns++++=children
aged ^jj++++=aged
2 ^zz++++=2
to ^to++++=to
4 ^zz++++=4
years ^nns++++=years
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
gestures ^nns++++=gestures
produced ^vbd+++xvbn+=produced
and ^cc++++=and
the ^ati++++=the
combinations ^nns++++=combinations
of ^in++++=of
gesture ^nn++++=gesture
and ^cc++++=and
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
children ^nns++++=children
with ^in++++=with
autism ^nn+++??+=autism
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
demonstrate ^vb+vprv+++=demonstrate
greater ^jjr++++=greater
understanding ^jj+++xvbg+=understanding
of ^in++++=of
deictic ^nn+++??+=deictic
gestures ^nns++++=gestures
and ^cc++++=and
gesture ^nn++++=gesture-speech
- ^zz++++=EXTRAWORD
speech ^nn++++=EXTRAWORD
combinations ^nns++++=combinations
that ^tht+rel+subj++=that
reinforce ^vb++++=reinforce
meaning ^nvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^in++++=to
iconic ^nn+++??+=iconic
or ^cc++++=or
conventional ^jj+atrb+++=conventional
gestures ^nns++++=gestures
and ^cc++++=and
supplementary ^jj+atrb+++=supplementary
combinations ^nns++++=combinations.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
appears ^vbz+seem+++=appears
consistent ^jj++++=consistent
across ^in+pl+++=across
different ^jj+atrb+++=different
ages ^nns++++=ages
within ^in++++=within
the ^ati++++=the
studied ^vprf+++xvbn+=studied
population ^nn++++=population.
. ^zz++++=EXTRAWORD
