Anxiety ^nn++++=Anxiety
can ^md+pos+++=can
be ^vb+be+aux++=be
conceptualized ^vpsv++agls+xvbnx+=conceptualized
in ^in++++=in
two ^cd++++=two
distinct ^jj+atrb+++=distinct
forms ^nns++++=forms:
: ^zz++++=EXTRAWORD
trait ^nn++++=trait
anxiety ^nn++++=anxiety
and ^cc++++=and
state ^nn++++=state
anxiety ^nn++++=anxiety.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
university ^nn++++=university
context ^nn++++=context,
, ^zz++++=EXTRAWORD
trait ^nn++++=trait
anxiety ^nn++++=anxiety
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
a ^at++++=a
stable ^jj+atrb+++=stable
personality ^nn++++=personality
characteristic ^jj++++=characteristic
that ^dt+pdem+++=that
predisposes ^vbz+++??+=predisposes
students ^nns++++=students
to ^to++++=to
interpret ^vbi++++=interpret
the ^ati++++=the
academic ^jj+atrb+++=academic
environment ^nn++++=environment
as ^in++++=as
threatening ^jj++++=threatening
or ^cc+phrs+++=or
dangerous ^jj++++=dangerous,
, ^zz++++=EXTRAWORD
often ^rb++++=often
resulting ^jj+++xvbg+=resulting
in ^in++++=in
anxiety ^nn++++=anxiety
levels ^nns++++=levels
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
disproportionate ^jj+pred+++=disproportionate
to ^in++++=to
the ^ati++++=the
actual ^jj+atrb+++=actual
situation ^nn++++=situation
( ^zz++++=(Machado
machado ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Balapala ^np+++??+=Balapala
& ^zz++++=&
Indla ^np+++??+=Indla,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
state ^nn++++=state
anxiety ^nn++++=anxiety
refers ^vbz++++=refers
to ^in++++=to
a ^at++++=a
temporary ^jj+atrb+++=temporary
emotional ^jj+atrb+++=emotional
condition ^nn++++=condition
characterized ^nn+++??+=characterized
by ^in++++=by
symptoms ^nns++++=symptoms
such ^abl++++=such
as ^ql++++=as
nervousness ^nn++++=nervousness,
, ^zz++++=EXTRAWORD
worry ^vb+vprv+++=worry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
apprehension ^nn++++=apprehension,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
specific ^jj+atrb+++=specific
situations ^nns++++=situations
or ^cc++++=or
stimuli ^nns++++=stimuli
encountered ^vwbn+++xvbn+=encountered
in ^in++++=in
the ^ati++++=the
university ^npl++++=university
setting ^vwbg+++xvbg+=setting
( ^zz++++=(Machado
machado ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
gama ^np++++=Gama
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
