A ^at++++=A
central ^jj+atrb+++=central
issue ^nn++++=issue
in ^in++++=in
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
analyses ^nns++++=analyses
is ^vbz+bez+vrb++=is
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
agents ^nns++++=agents
align ^nn+++??+=align
with ^in++++=with
the ^ati++++=the
objectives ^nns++++=objectives
of ^in++++=of
principals ^nns++++=principals,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
mechanisms ^nns++++=mechanisms
by ^in++++=by
which ^whp+rel+pied++=which
principals ^nns++++=principals
select ^vb++++=select
and ^cc++++=and
monitor ^nn++++=monitor
brokers ^nns++++=brokers
to ^to++++=to
ensure ^vbi+vprv+++=ensure
compliance ^nn++++=compliance
with ^in++++=with
their ^pp$+pp3+++=their
interests ^nns++++=interests
( ^zz++++=(Stokes
stokes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Aspinall ^np+++??+=Aspinall,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Gingerich ^np+++??+=Gingerich,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Holland ^np++++=Holland
and ^cc++++=and
Palmer ^np++++=Palmer-Rubin,
- ^zz++++=EXTRAWORD
rubin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Existing ^jj+atrb++xvbg+=Existing
literature ^nn++++=literature
often ^rb++++=often
posits ^vbz+++??+=posits
a ^at++++=a
misalignment ^nn+++??+=misalignment
between ^in++++=between
the ^ati++++=the
interests ^nns++++=interests
of ^in++++=of
brokers ^nns++++=brokers
and ^cc++++=and
those ^dt+dem+++=those
of ^in++++=of
politicians ^nns++++=politicians
or ^cc++++=or
parties ^nns++++=parties,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
introduces ^vbz++++=introduces
risks ^nns++++=risks
related ^vbd+++xvbn+=related
to ^in++++=to
optimization ^nn+++??+=optimization
and ^cc++++=and
return ^vb++++=return
on ^in++++=on
investment ^nn++++=investment
for ^in++++=for
the ^ati++++=the
principals ^nns++++=principals
( ^zz++++=(Stokes
stokes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
insufficient ^jj+pred+++=insufficient
for ^in++++=for
brokers ^nns++++=brokers
to ^to++++=to
merely ^rb+down+splt++=merely
possess ^vbi++++=possess
local ^jj+atrb+++=local
leadership ^nn++++=leadership
status ^nn++++=status;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
must ^md+nec+++=must
also ^rb++splt++=also
demonstrate ^vb+vprv+++=demonstrate
effective ^jj+atrb+++=effective
voter ^nn++++=voter
mobilization ^nn+++??+=mobilization
capabilities ^nns++++=capabilities.
. ^zz++++=EXTRAWORD
Principals ^nns++++=Principals,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
require ^vb+vsua+++=require
observable ^jj+atrb+++=observable
indicators ^nns++++=indicators
to ^to++++=to
evaluate ^vbi++++=evaluate
and ^cc++++=and
oversee ^jj+atrb++??+=oversee
broker ^nn++++=broker
performance ^nn++++=performance.
. ^zz++++=EXTRAWORD
Commonly ^rb++++=Commonly
utilized ^vbd+++xvbn+=utilized
indicators ^nns++++=indicators
include ^vb++++=include
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
votes ^nns++++=votes
brokers ^nns++++=brokers
deliver ^vb++++=deliver
( ^zz++++=(Szwarcberg,
szwarcberg ^nn+++??+=EXTRAWORD
