Two ^cd++++=Two
independent ^jj+atrb+++=independent
reviewers ^nns++++=reviewers
extracted ^vwbn+++xvbn+=extracted
data ^nns++++=data
using ^vwbg+++xvbg+=using
a ^at++++=a
data ^nns++++=data
extraction ^nn++++=extraction
tool ^nn++++=tool
developed ^vwbn+++xvbn+=developed
by ^in++++=by
the ^ati++++=the
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
previously ^rb+tm+splt++=previously
tested ^xvbn+++xvbn+=tested
on ^in++++=on
three ^cd++++=three
articles ^nns++++=articles
to ^to++++=to
evaluate ^vbi++++=evaluate
its ^pp$+it+++=its
adequacy ^nn++++=adequacy.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
this ^dt+dem+++=this
pilot ^nn++++=pilot
test ^nn++++=test,
, ^zz++++=EXTRAWORD
the ^ati++++=the
variables ^nns++++=variables
" ^zz++++="trade
trade ^nn++++=EXTRAWORD
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
therapy ^nn++++=therapy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="formulation,"
formulation ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="application
application ^nn++++=EXTRAWORD
form ^nn++++=form"
" ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
tool ^nn++++=tool,
, ^zz++++=EXTRAWORD
as ^ql++++=as
detailed ^jj++++=detailed
in ^in++++=in
table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
