Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
criteria ^nns++++=criteria
established ^vwbn+++xvbn+=established
by ^in++++=by
Cargnin ^np+++??+=Cargnin,
, ^zz++++=EXTRAWORD
Rossi ^np++++=Rossi,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ticks ^np+++??+=Ticks
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Graph ^nn++++=Graph
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
concluded ^vpsv++agls+xvbnx+=concluded
that ^tht+vcmp+++=that
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
selected ^jj+atrb++xvbn+=selected
English ^jj+atrb+++=English
language ^nn++++=language
textbook ^nn++++=textbook
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools
in ^in++++=in
Santa ^&fw++++=Santa
Maria ^&fw++++=Maria
in ^in++++=in
2021 ^cd++++=2021
is ^vbz+bez+vrb++=is
" ^zz++++="Way
way ^nn++++=EXTRAWORD
to ^in++++=to
English ^nn++++=English
for ^in++++=for
Brazilian ^jj+atrb+++=Brazilian
Learners ^nns++++=Learners
6 ^zz++++=6,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
scheduled ^vpsv++agls+xvbnx+=scheduled
for ^in++++=for
use ^nn++++=use
in ^in++++=in
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
public ^jj+atrb+++=public
schools ^nns++++=schools
during ^in++++=during
the ^ati++++=the
2021 ^cd++++=2021-2023
- ^zz++++=EXTRAWORD
2023 ^cd++++=EXTRAWORD
triennium ^nn++++=triennium.
. ^zz++++=EXTRAWORD
