It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
therefore ^rb+cnj+++=therefore
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
distinguish ^vbi++++=distinguish
between ^in++++=between
the ^ati++++=the
dynamics ^nn++++=dynamics
of ^in++++=of
mediation ^nn++++=mediation
during ^in++++=during
election ^nn++++=election
periods ^nns++++=periods
and ^cc++++=and
those ^dt+dem+++=those
that ^dt+pdem+++=that
occur ^vb++++=occur
between ^in++++=between
elections ^nns++++=elections.
. ^zz++++=EXTRAWORD
Much ^ap++++=Much
of ^in++++=of
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
research ^nn++++=research
on ^in++++=on
brokers ^nns++++=brokers
( ^zz++++=(Szwarcberg,
szwarcberg ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
Munoz ^np+++??+=Munoz,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Aspinall ^np+++??+=Aspinall,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Gingerich ^np+++??+=Gingerich,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020)
) ^zz++++=EXTRAWORD
concentrates ^nns++++=concentrates
on ^in++++=on
electoral ^jj+atrb+++=electoral
periods ^nns++++=periods
and ^cc++++=and
often ^rb++++=often
generalizes ^vbz++++=generalizes
findings ^vb++++=findings
to ^to+vcmp+++=to
the ^ati++++=the
entire ^jjb+atrb+++=entire
term ^nn++++=term
of ^in++++=of
office ^nn++++=office.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
may ^md+pos+++=may
overemphasize ^vb+++??+=overemphasize
factors ^nns++++=factors
specific ^jj++++=specific
to ^in++++=to
election ^nn++++=election
periods ^nns++++=periods
while ^cs+sub+++=while
overlooking ^vbg+++xvbg+=overlooking
dynamics ^nn++++=dynamics
that ^tht+rel+subj++=that
persist ^vb++++=persist
beyond ^in++++=beyond
these ^dt+dem+++=these
moments ^nns++++=moments.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
reasonable ^jj+pred+++=reasonable
to ^to+jcmp+++=to
assume ^vbi+vprv+++=assume
that ^tht+vcmp+++=that
politicians ^nns++++=politicians
are ^vb+ber+aux++=are
motivated ^vpsv++by+xvbnx+=motivated
by ^in++++=by
electoral ^jj+atrb+++=electoral
success ^nn++++=success,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
does ^vbz+doz+aux++=does
not ^xnot++not++=not
imply ^vb+vprv+++=imply
that ^tht+vcmp+++=that
all ^abn++++=all
brokerage ^nn+++??+=brokerage
dynamics ^nn++++=dynamics
can ^md+pos+++=can
be ^vb+be+aux++=be
reduced ^vpsv++agls+xvbnx+=reduced
to ^in++++=to
campaign ^nn++++=campaign
logic ^nn++++=logic
or ^cc++++=or
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
cannot ^md+pos+not++=cannot
acquire ^vb++++=acquire
different ^jj+atrb+++=different
political ^jj+atrb+++=political
meanings ^nns++++=meanings
outside ^in+cmpx+++=outside
of ^in"++++=of
electoral ^jj+atrb+++=electoral
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
