Within ^in++++=Within
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
article ^nn++++=article
examines ^vbz++++=examines
three ^cd++++=three
key ^jjb+atrb+++=key
aspects ^nns++++=aspects:
: ^zz++++=EXTRAWORD
the ^ati++++=the
economically ^rb++++=economically
active ^jj+atrb+++=active
population ^nn++++=population,
, ^zz++++=EXTRAWORD
the ^ati++++=the
legal ^jj+atrb+++=legal
framework ^nn++++=framework
governing ^vwbg+++xvbg+=governing
labor ^nn+++??+=labor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
regulations ^nns++++=regulations.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
the ^ati++++=the
economically ^rb++++=economically
active ^jj+atrb+++=active
population ^nn++++=population,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+vrb++=be
categorized ^nn+++??+=categorized
into ^in++++=into
three ^cd++++=three
groups ^nns++++=groups:
: ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
participating ^vwbg+++xvbg+=participating
in ^in++++=in
a ^at++++=a
barter ^vb++++=barter-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
economy ^nn++++=economy;
; ^zz++++=EXTRAWORD
those ^dt+dem+++=those
employed ^jj+++xvbn+=employed
on ^in++++=on
haciendas ^nns+++??+=haciendas,
, ^zz++++=EXTRAWORD
including ^in++++=including
wage ^nn++++=wage
laborers ^nns+++??+=laborers
and ^cc++++=and
farmers ^nns++++=farmers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
individuals ^nns++++=individuals
working ^vwbg+++xvbg+=working
in ^in++++=in
industry ^nn++++=industry,
, ^zz++++=EXTRAWORD
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
public ^jj+atrb+++=public
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
