Despite ^in++++=Despite
certain ^jj+atrb+++=certain
limitations ^nns++++=limitations,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
among ^in++++=among
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
correlation ^nn++++=correlation
between ^in++++=between
anxiety ^nn++++=anxiety
and ^cc++++=and
anxiolytic ^nn+++??+=anxiolytic
use ^nn++++=use
among ^in++++=among
university ^nn++++=university
students ^nns++++=students
enrolled ^vbd+++xvbn+=enrolled
in ^in++++=in
various ^jj+atrb+++=various
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
programs ^nns+++??+=programs
in ^in++++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
adds ^vbz+vpub+++=adds
value ^nn++++=value
to ^in++++=to
the ^ati++++=the
research ^nn++++=research.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
a ^at++++=a
moderate ^jj++++=moderate
to ^in++++=to
high ^jj+atrb+++=high
prevalence ^nn+++??+=prevalence
of ^in++++=of
both ^abx++++=both
state ^nn++++=state
and ^cc++++=and
trait ^nn++++=trait
anxiety ^nn++++=anxiety
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
anxiolytic ^nn+++??+=anxiolytic
medications ^nns+++??+=medications
among ^in++++=among
these ^dt+dem+++=these
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
these ^dt+dem+++=these
results ^nns++++=results,
, ^zz++++=EXTRAWORD
universities ^nns++++=universities
represent ^vb++++=represent
important ^jj+atrb+++=important
settings ^nns++++=settings
for ^in++++=for
health ^nn++++=health
promotion ^nn++++=promotion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
further ^jjb+atrb+++=further
research ^nn++++=research
evaluating ^nn+++??+=evaluating
anxiety ^nn++++=anxiety
and ^cc++++=and
informing ^vbg+++xvbg+=informing
management ^nn++++=management
strategies ^nns+++??+=strategies
is ^vbz+bez+aux++=is
warranted ^vpsv++agls+xvbnx+=warranted
to ^to++++=to
potentially ^rb++splt++=potentially
reduce ^vbi++++=reduce
the ^ati++++=the
reliance ^nn++++=reliance
on ^in++++=on
pharmacological ^jj+atrb+++=pharmacological
interventions ^nns++++=interventions
among ^in++++=among
students ^nns++++=students.
. ^zz++++=EXTRAWORD
