When ^wrb+who+++=When
participants ^nns++++=participants
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked
about ^in++++=about
their ^pp$+pp3+++=their
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
health ^nn++++=health,
, ^zz++++=EXTRAWORD
all ^abn++++=all
expressed ^jj+atrb++xvbn+=expressed
recognition ^nn++++=recognition
of ^in++++=of
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
the ^ati++++=the
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^abn++++=all
provided ^jj+atrb++xvbn+=provided
direct ^jj+atrb+++=direct
responses ^nns++++=responses
to ^in++++=to
the ^ati++++=the
question ^nn++++=question;
; ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
some ^dti++++=some
referenced ^nn++++=referenced
everyday ^jjb+atrb+++=everyday
examples ^nns++++=examples
to ^in++++=to
address ^nn++++=address
the ^ati++++=the
subject ^nn++++=subject
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
